cutoff,inventory,architecture,atom_count,prime_density_matched,encoder_or_architecture_target_calls,support_loaded_post_freeze,primitive_ledger_clean,whole_operator_compact,whole_operator_s1_sigma2,mixed_primitives,selectivity_credit,proves_too_much
511,matched_density_seeded_random,shared_trie_return,97,True,0,True,False,False,False,True,False,True
511,matched_density_seeded_random,countable_atom_diagonal,97,True,0,True,True,True,True,False,False,True
511,matched_density_hash,disjoint_finite_code_cycles,97,True,0,True,True,False,False,False,False,True
511,matched_density_hash,shared_trie_return,97,True,0,True,False,False,False,True,False,True
511,matched_density_hash,countable_atom_diagonal,97,True,0,True,True,True,True,False,False,True
511,arbitrary_decidable_modular,disjoint_finite_code_cycles,218,False,0,True,True,False,False,False,False,True
511,arbitrary_decidable_modular,shared_trie_return,218,False,0,True,False,False,False,True,False,True
511,arbitrary_decidable_modular,countable_atom_diagonal,218,False,0,True,True,True,True,False,False,True
2047,prime_evaluator,disjoint_finite_code_cycles,309,True,0,True,True,False,False,False,False,True
2047,prime_evaluator,shared_trie_return,309,True,0,True,False,False,False,True,False,True
2047,prime_evaluator,countable_atom_diagonal,309,True,0,True,True,True,True,False,False,True
2047,composite_control,disjoint_finite_code_cycles,1737,False,0,True,True,False,False,False,False,True
2047,composite_control,shared_trie_return,1737,False,0,True,False,False,False,True,False,True
2047,composite_control,countable_atom_diagonal,1737,False,0,True,True,True,True,False,False,True
2047,square_control,disjoint_finite_code_cycles,44,False,0,True,True,False,False,False,False,True
2047,square_control,shared_trie_return,44,False,0,True,False,False,False,True,False,True
2047,square_control,countable_atom_diagonal,44,False,0,True,True,True,True,False,False,True
2047,fibonacci_control,disjoint_finite_code_cycles,15,False,0,True,True,False,False,False,False,True
2047,fibonacci_control,shared_trie_return,15,False,0,True,False,False,False,True,False,True
2047,fibonacci_control,countable_atom_diagonal,15,False,0,True,True,True,True,False,False,True
2047,matched_density_seeded_random,disjoint_finite_code_cycles,309,True,0,True,True,False,False,False,False,True
2047,matched_density_seeded_random,shared_trie_return,309,True,0,True,False,False,False,True,False,True
2047,matched_density_seeded_random,countable_atom_diagonal,309,True,0,True,True,True,True,False,False,True
2047,matched_density_hash,disjoint_finite_code_cycles,309,True,0,True,True,False,False,False,False,True
2047,matched_density_hash,shared_trie_return,309,True,0,True,False,False,False,True,False,True
2047,matched_density_hash,countable_atom_diagonal,309,True,0,True,True,True,True,False,False,True
2047,arbitrary_decidable_modular,disjoint_finite_code_cycles,877,False,0,True,True,False,False,False,False,True
2047,arbitrary_decidable_modular,shared_trie_return,877,False,0,True,False,False,False,True,False,True
2047,arbitrary_decidable_modular,countable_atom_diagonal,877,False,0,True,True,True,True,False,False,True
8191,prime_evaluator,disjoint_finite_code_cycles,1028,True,0,True,True,False,False,False,False,True
8191,prime_evaluator,shared_trie_return,1028,True,0,True,False,False,False,True,False,True
8191,prime_evaluator,countable_atom_diagonal,1028,True,0,True,True,True,True,False,False,True
8191,composite_control,disjoint_finite_code_cycles,7162,False,0,True,True,False,False,False,False,True
8191,composite_control,shared_trie_return,7162,False,0,True,False,False,False,True,False,True
8191,composite_control,countable_atom_diagonal,7162,False,0,True,True,True,True,False,False,True
8191,square_control,disjoint_finite_code_cycles,89,False,0,True,True,False,False,False,False,True
8191,square_control,shared_trie_return,89,False,0,True,False,False,False,True,False,True
8191,square_control,countable_atom_diagonal,89,False,0,True,True,True,True,False,False,True
8191,fibonacci_control,disjoint_finite_code_cycles,18,False,0,True,True,False,False,False,False,True
8191,fibonacci_control,shared_trie_return,18,False,0,True,False,False,False,True,False,True
8191,fibonacci_control,countable_atom_diagonal,18,False,0,True,True,True,True,False,False,True
8191,matched_density_seeded_random,disjoint_finite_code_cycles,1028,True,0,True,True,False,False,False,False,True
8191,matched_density_seeded_random,shared_trie_return,1028,True,0,True,False,False,False,True,False,True
8191,matched_density_seeded_random,countable_atom_diagonal,1028,True,0,True,True,True,True,False,False,True
8191,matched_density_hash,disjoint_finite_code_cycles,1028,True,0,True,True,False,False,False,False,True
8191,matched_density_hash,shared_trie_return,1028,True,0,True,False,False,False,True,False,True
8191,matched_density_hash,countable_atom_diagonal,1028,True,0,True,True,True,True,False,False,True
8191,arbitrary_decidable_modular,disjoint_finite_code_cycles,3510,False,0,True,True,False,False,False,False,True
8191,arbitrary_decidable_modular,shared_trie_return,3510,False,0,True,False,False,False,True,False,True
8191,arbitrary_decidable_modular,countable_atom_diagonal,3510,False,0,True,True,True,True,False,False,True
