query_id	exact_frozen_query	retrieved_at_utc	interface	http_status	candidate_doi	candidate_title	candidate_year	decision	matched_source_id	decision_reason
Q11	"""Cycle expansions for classical smooth flows"" DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1088/0305-4470/24/5/005	Periodic orbit expansions for classical smooth flows	1991	RETAIN_EXISTING_INVENTORY_RECORD	P30-S05	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q12	"""Periodic-orbit quantization of chaotic systems"" DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1103/physrevlett.63.823	Periodic-orbit quantization of chaotic systems	1989	RETAIN_EXISTING_INVENTORY_RECORD	P30-S04	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q13	"""Periodic orbit expansions for classical smooth flows"" DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1088/0305-4470/24/5/005	Periodic orbit expansions for classical smooth flows	1991	RETAIN_EXISTING_INVENTORY_RECORD	P30-S05	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q14	"site:pubs.aip.org/jcp ""10.1063/1.456017"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.37546/jaltsig.call	JALTCALL Publications		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q15	"site:pubs.aip.org/jcp ""10.1063/1.456018"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.37546/jaltsig.call	JALTCALL Publications		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q16	"site:pubs.aip.org/jcp ""10.1063/1.456019"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.37546/jaltsig.call	JALTCALL Publications		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q17	"site:sciencedirect.com ""10.1016/S0370-1573(98)00036-2"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1016/s0020-7292(14)00279-3	Top 10 IJGO articles downloaded from ScienceDirect March 2013 ‐ March 2014	2014	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q18	"site:springer.com Ruelle ""Zeta-functions for expanding maps and Anosov flows"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1007/bf01403069	Zeta-functions for expanding maps and Anosov flows	1976	RETAIN_EXISTING_INVENTORY_RECORD	P30-S13	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q19	"site:springer.com Ruelle ""An extension of the theory of Fredholm determinants"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1007/bf02699133	An extension of the theory of Fredholm determinants	1990	RETAIN_EXISTING_INVENTORY_RECORD	P30-S14	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q20	"site:springer.com Pollicott ""Meromorphic extensions of generalised zeta functions"""	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1007/bf01388795	Meromorphic extensions of generalised zeta functions	1986	RETAIN_EXISTING_INVENTORY_RECORD	P30-S15	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q21	site:ams.org OR site:springer.com transfer operator suspension flow nonconstant roof Fredholm determinant	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1006/aphy.1994.1042	The Fredholm Determinant for a Dirac Operator	1994	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q22	"""Zeta-functions for expanding maps and Anosov flows"" DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1007/bf01403069	Zeta-functions for expanding maps and Anosov flows	1976	RETAIN_EXISTING_INVENTORY_RECORD	P30-S13	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q23	"""An extension of the theory of Fredholm determinants"" DOI Ruelle"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1007/bf02699133	An extension of the theory of Fredholm determinants	1990	RETAIN_EXISTING_INVENTORY_RECORD	P30-S14	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q24	"""Meromorphic extensions of generalised zeta functions"" DOI Pollicott"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1007/bf01388795	Meromorphic extensions of generalised zeta functions	1986	RETAIN_EXISTING_INVENTORY_RECORD	P30-S15	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q25	"""Meromorphic zeta functions for analytic flows"" Pollicott DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1007/bf02099469	Meromorphic zeta functions for analytic flows	1995	RETAIN_EXISTING_INVENTORY_RECORD	P30-S16	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q26	"10.1007 ""Meromorphic extensions of generalised zeta functions"" 85 147 164"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1007/bf01388795	Meromorphic extensions of generalised zeta functions	1986	RETAIN_EXISTING_INVENTORY_RECORD	P30-S15	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q27	"""Anosov flows and dynamical zeta functions"" DOI Giulietti Liverani Pollicott"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.4007/annals.2013.178.2.6	Anosov flows and dynamical zeta functions	2013	RETAIN_EXISTING_INVENTORY_RECORD	P30-S17	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q28	"""Spectrum of Ruelle transfer operators for Axiom A flows"" DOI Stoyanov"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1088/0951-7715/24/4/005	Spectra of Ruelle transfer operators for Axiom A flows	2011	RETAIN_EXISTING_INVENTORY_RECORD	P30-S12	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q29	"""Dynamical determinants and spectrum for hyperbolic diffeomorphisms"" DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1090/conm/469/09160	Dynamical determinants and spectrum for hyperbolic diffeomorphisms	2008	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q30	"""Anosov flows and dynamical zeta functions"" erratum DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.4007/annals.2013.178.2.6	Anosov flows and dynamical zeta functions	2013	RETAIN_EXISTING_INVENTORY_RECORD	P30-S17	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q31	arXiv 2203.04917 Anosov flows dynamical zeta erratum	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.4007/annals.2013.178.2.6	Anosov flows and dynamical zeta functions	2013	RETAIN_EXISTING_INVENTORY_RECORD	P30-S17	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q32	"""Spectrum of the Ruelle operator and exponential decay of correlations for open billiard flows"" DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1353/ajm.2001.0029	Spectrum of the Ruelle operator and exponential decay of correlations for open billiard flows	2001	RETAIN_EXISTING_INVENTORY_RECORD	P30-S11	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q33	"""Dolgopyat type estimates for open billiard flows"" DOI Stoyanov"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1017/s0143385710000933	Non-integrability of open billiard flows and Dolgopyat-type estimates	2012	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q34	"""On zeta function and scattering poles for several convex bodies"" Ikawa DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.5802/jedp.457	On zeta function and scattering poles for several convex bodies	1994	RETAIN_EXISTING_INVENTORY_RECORD	P30-S10	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q35	site:projecteuclid.org open billiard flow transfer operator zeta function strictly convex obstacles	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.4153/cmb-2008-012-8	Dynamical Zeta Function for Several Strictly Convex Obstacles	2008	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q36	"""Symbolic dynamics for hyperbolic flows"" Bowen DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.2307/2373793	Symbolic Dynamics for Hyperbolic Flows	1973	RETAIN_EXISTING_INVENTORY_RECORD	P30-S07	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q37	"""Markov partitions for Anosov flows on 3-dimensional manifolds"" Ratner DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1007/bf02771776	Markov partitions for anosov flows onn-dimensional manifolds	1973	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q38	"""The ergodic theory of Axiom A flows"" Bowen Ruelle DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1007/978-0-387-21830-4_5	The Ergodic Theory of Axiom A Flows	1975	RETAIN_EXISTING_INVENTORY_RECORD	P30-S08	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q39	site:ams.org open billiards symbolic dynamics strictly convex obstacles coding	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.5802/mrr.28	Strictly convex ergodic billiards	2026	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q40	"site:ams.org ""On the numerical evaluation of Fredholm determinants"" Bornemann"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1090/s0025-5718-09-02280-7	On the numerical evaluation of Fredholm determinants	2009	RETAIN_EXISTING_INVENTORY_RECORD	P30-S22	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q41	"""Explicit eigenvalue estimates for transfer operators acting on spaces of holomorphic functions"" DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1016/j.aim.2008.02.005	Explicit eigenvalue estimates for transfer operators acting on spaces of holomorphic functions	2008	RETAIN_EXISTING_INVENTORY_RECORD	P30-S20	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q42	"""Lagrange approximation of transfer operators associated with holomorphic data"" DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1007/978-94-017-0405-2_16	Dirac Operators on Holomorphic Bundles	2003	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q43	"""Spectral Galerkin methods for transfer operators in uniformly expanding dynamics"" DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1007/s00211-019-01031-z	Spectral Galerkin methods for transfer operators in uniformly expanding dynamics	2019	RETAIN_EXISTING_INVENTORY_RECORD	P30-S21	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q44	"""Lagrange approximation of transfer operators associated with holomorphic data"" journal"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1007/978-94-017-0405-2_16	Dirac Operators on Holomorphic Bundles	2003	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q45	"""Spectral Galerkin methods for transfer operators in uniformly expanding dynamics"" Numerische Mathematik DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1007/s00211-019-01031-z	Spectral Galerkin methods for transfer operators in uniformly expanding dynamics	2019	RETAIN_EXISTING_INVENTORY_RECORD	P30-S21	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q46	"""On the numerical evaluation of Fredholm determinants"" DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1090/s0025-5718-09-02280-7	On the numerical evaluation of Fredholm determinants	2009	RETAIN_EXISTING_INVENTORY_RECORD	P30-S22	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q47	"""Explicit a priori bounds on transfer operator eigenvalues"" DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1007/s00220-007-0355-7	Explicit A Priori Bounds on Transfer Operator Eigenvalues	2007	RETAIN_EXISTING_INVENTORY_RECORD	P30-S19	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q48	"Livsic ""Cohomology of dynamical systems"" DOI 1972"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1017/s014338570000883x	Regularity results for the solutions of the Livsic cohomology equation with values in diffeomorphism groups	1996	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q49	"""Canonical perturbation theory of Anosov systems"" DOI"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.2307/1971334	Canonical Perturbation Theory of Anosov Systems and Regularity Results for the Livsic Cohomology Equation	1986	RETAIN_EXISTING_INVENTORY_RECORD	P30-S24	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q50	"""Livsic theorem for matrix cocycles"" DOI Kalinin"	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.4007/annals.2011.173.2.11	Livšic Theorem for matrix cocycles	2011	RETAIN_EXISTING_INVENTORY_RECORD	P30-S25	Top-ranked metadata record is already present in the frozen admitted inventory; no new scientific record is created.
Q51	site:ams.org Livsic theorem periodic orbit obstruction Hölder cocycle	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.23943/princeton/9780691181387.003.0018	The Orbit Equivalence Theorem	2019	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q52	2021..2026 Livsic roof functions periodic orbit non-cohomologous transfer operator	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1017/9781009282451.012	Operator Functions	2026	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q53	2021..2026 open billiard flow transfer operator Fredholm determinant rigorous numerical	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1006/aphy.1994.1042	The Fredholm Determinant for a Dirac Operator	1994	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
Q54	2021..2026 three disk scattering physical flight time roof function periodic orbit determinant	2026-09-03T15:50:00Z	Crossref REST query.bibliographic; rows=1	200	10.1209/0295-5075/118/30006	Exceptional points in the elliptical three-disk scatterer using semiclassical periodic orbit quantization	2017	SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Top-ranked metadata record does not match the frozen admitted inventory by DOI or normalized title; it is not adopted by this bounded replay.
