schema_version,row_id,row_family,case_kind,owner_domain,topology_token,claim_token,evidence_mode,subject_value,oracle_value,scope_token,detected,negative_reason,oracle,status
paper17-open-groupoid-controls/1,DG-0013,CLAIM_SCOPE,RECEIPT,CONTROL_C4_DISCRETE,FINITE_DISCRETE_C4,NONETALE,FINITE_DIAGNOSTIC_ONLY,NONETALE=true,FALSE_IN_DISCRETE_PROXY,FINITE_DIAGNOSTIC_ONLY,,,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0014,CLAIM_SCOPE,RECEIPT,CONTROL_C4_DISCRETE,FINITE_DISCRETE_C4,NONUNITAL,FINITE_DIAGNOSTIC_ONLY,NONUNITAL=true,FALSE_IN_DISCRETE_PROXY,FINITE_DIAGNOSTIC_ONLY,,,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0015,CLAIM_SCOPE,RECEIPT,CONTROL_C4_DISCRETE,FINITE_DISCRETE_C4,LOCALIC_RECONSTRUCTION,FINITE_DIAGNOSTIC_ONLY,LOCALIC_RECONSTRUCTION=true,NOT_CERTIFIABLE_BY_FINITE_PROXY,FINITE_DIAGNOSTIC_ONLY,,,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0016,WRONG_DOMAIN_ATTACK,NEGATIVE,ACTUAL_USUAL_R,USUAL_NONDISCRETE_R,NONETALE,FINITE_C3_PROXY,CLAIM[C3_PROXY_CERTIFIES_R_NONETALE],REJECTED,NO_REAL_OR_LOCALIC_CERTIFICATION,true,C3_PROXY_CERTIFIES_R_NONETALE,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0017,WRONG_DOMAIN_ATTACK,NEGATIVE,ACTUAL_USUAL_R,USUAL_NONDISCRETE_R,NONETALE,FINITE_C4_PROXY,CLAIM[C4_PROXY_CERTIFIES_R_NONETALE],REJECTED,NO_REAL_OR_LOCALIC_CERTIFICATION,true,C4_PROXY_CERTIFIES_R_NONETALE,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0018,WRONG_DOMAIN_ATTACK,NEGATIVE,ACTUAL_USUAL_R,USUAL_NONDISCRETE_R,NONUNITAL,FINITE_C3_PROXY,CLAIM[C3_PROXY_CERTIFIES_R_NONUNITAL],REJECTED,NO_REAL_OR_LOCALIC_CERTIFICATION,true,C3_PROXY_CERTIFIES_R_NONUNITAL,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0019,WRONG_DOMAIN_ATTACK,NEGATIVE,ACTUAL_USUAL_R,USUAL_NONDISCRETE_R,NONUNITAL,FINITE_C4_PROXY,CLAIM[C4_PROXY_CERTIFIES_R_NONUNITAL],REJECTED,NO_REAL_OR_LOCALIC_CERTIFICATION,true,C4_PROXY_CERTIFIES_R_NONUNITAL,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0020,WRONG_DOMAIN_ATTACK,NEGATIVE,ACTUAL_USUAL_R,USUAL_NONDISCRETE_R,OPEN_GROUPOID,DISCRETE_SINGLETON_OPEN,CLAIM[DISCRETE_SINGLETON_OPEN_IMPORTED_TO_R],REJECTED,NO_REAL_OR_LOCALIC_CERTIFICATION,true,DISCRETE_SINGLETON_OPEN_IMPORTED_TO_R,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0021,WRONG_DOMAIN_ATTACK,NEGATIVE,ACTUAL_USUAL_R,USUAL_NONDISCRETE_R,OPEN_GROUPOID,DISCRETE_LOCAL_CHART,CLAIM[DISCRETE_LOCAL_CHART_IMPORTED_TO_R],REJECTED,NO_REAL_OR_LOCALIC_CERTIFICATION,true,DISCRETE_LOCAL_CHART_IMPORTED_TO_R,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0022,WRONG_DOMAIN_ATTACK,NEGATIVE,ACTUAL_USUAL_R,FINITE_DISCRETE_C3,OPEN_GROUPOID,SYMBOLIC_SOURCE_RECEIPT_ONLY,CLAIM[USUAL_R_RELABELLED_DISCRETE],REJECTED,NO_REAL_OR_LOCALIC_CERTIFICATION,true,USUAL_R_RELABELLED_DISCRETE,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0023,WRONG_DOMAIN_ATTACK,NEGATIVE,CONTROL_C3_DISCRETE,USUAL_NONDISCRETE_R,OPEN_GROUPOID,FINITE_DIAGNOSTIC_ONLY,CLAIM[DISCRETE_PROXY_RELABELLED_USUAL_R],REJECTED,NO_REAL_OR_LOCALIC_CERTIFICATION,true,DISCRETE_PROXY_RELABELLED_USUAL_R,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0024,WRONG_DOMAIN_ATTACK,NEGATIVE,ACTUAL_USUAL_R,USUAL_NONDISCRETE_R,NONETALE_FOR_ALL_H,SYMBOLIC_SOURCE_RECEIPT_ONLY,CLAIM[R_NONETALE_GENERALIZED_ALL_H],REJECTED,NO_REAL_OR_LOCALIC_CERTIFICATION,true,R_NONETALE_GENERALIZED_ALL_H,OWNER_DOMAIN_POLICY,PASS
paper17-open-groupoid-controls/1,DG-0025,WRONG_DOMAIN_ATTACK,NEGATIVE,ACTUAL_USUAL_R,USUAL_NONDISCRETE_R,NONUNITAL_FOR_ALL_H,SYMBOLIC_SOURCE_RECEIPT_ONLY,CLAIM[R_NONUNITAL_GENERALIZED_ALL_H],REJECTED,NO_REAL_OR_LOCALIC_CERTIFICATION,true,R_NONUNITAL_GENERALIZED_ALL_H,OWNER_DOMAIN_POLICY,PASS
