word,hecke_prime,a_p,scalar_law,scalar_lambda_p_exact,cycle_degree_profile,degree_one_owner_present,degree_support_forces_degree_one_failure,scalar_sign_forces_degree_one_failure,studied_functional,studied_k_exact_pass,studied_k_failure_mechanism,control_1_functional,control_1_source_coordinate,control_1_moments_by_degree_exact,control_1_signed_residuals_by_degree_exact,control_1_exact_pass,control_1_failure_mechanism,control_2_functional,control_2_source_coordinate,control_2_moments_by_degree_exact,control_2_signed_residuals_by_degree_exact,control_2_exact_pass,control_2_failure_mechanism,matched_control_overlap_class,newform_specific_residue_supported_in_two_control_panel,target_data_used,formal_a2_evaluation_run,route_b_invocation_allowed,formal_route_a_tuple
LLLRLLRLR,7,-2,a_p_squared,4,3|3|1|1,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,1,1:2|3:10,1:-2|3:10,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,2,1:13/4|3:17/4,1:-3/4|3:17/4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLLRLR,7,-2,a_p_squared_minus_p,-3,3|3|1|1,true,false,true,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,1,1:2|3:10,1:5|3:10,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,2,1:13/4|3:17/4,1:25/4|3:17/4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLLRLR,13,4,a_p,4,1|6|1|6,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,1,1:29|6:41,1:25|6:41,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,2,1:29/2|6:29/2,1:21/2|6:29/2,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLLRLR,13,4,a_p_squared,16,1|6|1|6,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,1,1:29|6:41,1:13|6:41,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,2,1:29/2|6:29/2,1:-3/2|6:29/2,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLLRLR,13,4,a_p_squared_minus_p,3,1|6|1|6,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,1,1:29|6:41,1:26|6:41,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,2,1:29/2|6:29/2,1:23/2|6:29/2,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLRLLR,2,-2,a_p,-2,2|1,true,false,true,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,2,1:1/4|2:9/4,1:9/4|2:9/4,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,3,1:4/9|2:16/9,1:22/9|2:16/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLRLLR,2,-2,a_p_squared,4,2|1,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,2,1:1/4|2:9/4,1:-15/4|2:9/4,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,3,1:4/9|2:16/9,1:-32/9|2:16/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLRLLR,2,-2,a_p_squared_minus_p,2,2|1,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,2,1:1/4|2:9/4,1:-7/4|2:9/4,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,3,1:4/9|2:16/9,1:-14/9|2:16/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLRLLR,3,-1,a_p,-1,2|2,false,true,true,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,2,1:0|2:5/2,1:1|2:5/2,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,3,1:0|2:17/9,1:1|2:17/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLRLLR,3,-1,a_p_squared,1,2|2,false,true,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,2,1:0|2:5/2,1:-1|2:5/2,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,3,1:0|2:17/9,1:-1|2:17/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLRLLR,3,-1,a_p_squared_minus_p,-2,2|2,false,true,true,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,2,1:0|2:5/2,1:2|2:5/2,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,3,1:0|2:17/9,1:2|2:17/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLRLLR,5,1,a_p,1,5|1,true,false,false,2*y+1*z,true,PASS,1*y-1*z,2,1:1/4|5:9/4,1:-3/4|5:9/4,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,3,1:4/9|5:25/9,1:-5/9|5:25/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_PASS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLRLLR,5,1,a_p_squared,1,5|1,true,false,false,2*y+1*z,true,PASS,1*y-1*z,2,1:1/4|5:9/4,1:-3/4|5:9/4,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,3,1:4/9|5:25/9,1:-5/9|5:25/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_PASS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLRLLR,5,1,a_p_squared_minus_p,-4,5|1,true,false,true,2*y+1*z,false,DEGREE_ONE_ONLY,1*y-1*z,2,1:1/4|5:9/4,1:17/4|5:9/4,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,3,1:4/9|5:25/9,1:40/9|5:25/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLRLLR,7,-2,a_p,-2,3|1|3|1,true,false,true,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,2,1:29/4|3:1/4,1:37/4|3:1/4,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,3,1:58/9|3:2/9,1:76/9|3:2/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLRLLR,7,-2,a_p_squared,4,3|1|3|1,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,2,1:29/4|3:1/4,1:13/4|3:1/4,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,3,1:58/9|3:2/9,1:22/9|3:2/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLRLLR,7,-2,a_p_squared_minus_p,-3,3|1|3|1,true,false,true,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,2,1:29/4|3:1/4,1:41/4|3:1/4,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,3,1:58/9|3:2/9,1:85/9|3:2/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLRLLR,13,4,a_p,4,6|6|1|1,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,2,1:1/2|6:25/2,1:-7/2|6:25/2,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,3,1:13/9|6:73/9,1:-23/9|6:73/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLRLLR,13,4,a_p_squared,16,6|6|1|1,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,2,1:1/2|6:25/2,1:-31/2|6:25/2,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,3,1:13/9|6:73/9,1:-131/9|6:73/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRLRLLR,13,4,a_p_squared_minus_p,3,6|6|1|1,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,2,1:1/2|6:25/2,1:-5/2|6:25/2,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,3,1:13/9|6:73/9,1:-14/9|6:73/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRLRRR,2,-2,a_p,-2,1|2,true,false,true,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-1,1:4|2:0,1:6|2:0,false,DEGREE_ONE_ONLY,1*y-2*z,-2,1:9/4|2:1/4,1:17/4|2:1/4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRLRRR,2,-2,a_p_squared,4,1|2,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-1,1:4|2:0,1:0|2:0,true,PASS,1*y-2*z,-2,1:9/4|2:1/4,1:-7/4|2:1/4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_ONE_MATCHED_CONTROL,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRLRRR,2,-2,a_p_squared_minus_p,2,1|2,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-1,1:4|2:0,1:2|2:0,false,DEGREE_ONE_ONLY,1*y-2*z,-2,1:9/4|2:1/4,1:1/4|2:1/4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRLRRR,3,-1,a_p,-1,3|1,true,false,true,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-1,1:4|3:9,1:5|3:9,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,-2,1:1|3:4,1:2|3:4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRLRRR,3,-1,a_p_squared,1,3|1,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-1,1:4|3:9,1:3|3:9,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,-2,1:1|3:4,1:0|3:4,false,NONUNIT_ONLY,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRLRRR,3,-1,a_p_squared_minus_p,-2,3|1,true,false,true,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-1,1:4|3:9,1:6|3:9,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,-2,1:1|3:4,1:3|3:4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRLRRR,5,1,a_p,1,1|1|2|2,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-1,1:5|2:10,1:4|2:10,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,-2,1:13/4|2:17/4,1:9/4|2:17/4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRLRRR,5,1,a_p_squared,1,1|1|2|2,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-1,1:5|2:10,1:4|2:10,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,-2,1:13/4|2:17/4,1:9/4|2:17/4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRLRRR,5,1,a_p_squared_minus_p,-4,1|1|2|2,true,false,true,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-1,1:5|2:10,1:9|2:10,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,-2,1:13/4|2:17/4,1:29/4|2:17/4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRLRRR,7,-2,a_p,-2,7|1,true,false,true,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-1,1:4|7:0,1:6|7:0,false,DEGREE_ONE_ONLY,1*y-2*z,-2,1:9/4|7:1/4,1:17/4|7:1/4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRLRRR,7,-2,a_p_squared,4,7|1,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-1,1:4|7:0,1:0|7:0,true,PASS,1*y-2*z,-2,1:9/4|7:1/4,1:-7/4|7:1/4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_ONE_MATCHED_CONTROL,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRLRRR,7,-2,a_p_squared_minus_p,-3,7|1,true,false,true,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-1,1:4|7:0,1:7|7:0,false,DEGREE_ONE_ONLY,1*y-2*z,-2,1:9/4|7:1/4,1:21/4|7:1/4,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRLRRR,13,4,a_p,4,3|3|3|3|1|1,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-1,1:5|3:69,1:1|3:69,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,-2,1:2|3:77/2,1:-2|3:77/2,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRLRRR,13,4,a_p_squared,16,3|3|3|3|1|1,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-1,1:5|3:69,1:-11|3:69,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,-2,1:2|3:77/2,1:-14|3:77/2,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRLRRR,13,4,a_p_squared_minus_p,3,3|3|3|3|1|1,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-1,1:5|3:69,1:2|3:69,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,-2,1:2|3:77/2,1:-1|3:77/2,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRRLRR,2,-2,a_p,-2,2|1,true,false,true,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-2,1:1/4|2:9/4,1:9/4|2:9/4,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,-3,1:4/9|2:16/9,1:22/9|2:16/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRRLRR,2,-2,a_p_squared,4,2|1,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-2,1:1/4|2:9/4,1:-15/4|2:9/4,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,-3,1:4/9|2:16/9,1:-32/9|2:16/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRRLRR,2,-2,a_p_squared_minus_p,2,2|1,true,false,false,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-2,1:1/4|2:9/4,1:-7/4|2:9/4,false,DEGREE_ONE_AND_NONUNIT,1*y-2*z,-3,1:4/9|2:16/9,1:-14/9|2:16/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
LLLRRRLRR,3,-1,a_p,-1,3|1,true,false,true,2*y+1*z,false,DEGREE_ONE_AND_NONUNIT,1*y-1*z,-2,1:1|3:0,1:2|3:0,false,DEGREE_ONE_ONLY,1*y-2*z,-3,1:4/9|3:1/9,1:13/9|3:1/9,false,DEGREE_ONE_AND_NONUNIT,STUDIED_K_FAIL_SHARED_BOTH_MATCHED_CONTROLS,false,false,false,false,"(A0_WEAK_ARITHMETIC_RELATION,A1_WEAK,A2_FAIL,A3_FAIL,A4_FAIL)"
