hecke_prime,coefficient_index,a_p,a_n,a_pn,p_times_a_n_over_p,hecke_lhs,eigen_rhs,eigen_relation_exact,generic_control_g_n,generic_control_hecke_lhs,generic_control_eigen_rhs,generic_control_residual,generic_control_relation_exact,generic_control_owner_status,evidence_token
3,25,-1,-4,4,0,4,4,true,-1,9,1,8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,26,-1,-8,8,0,8,8,true,-6,8,6,2,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,27,-1,5,1,-6,-5,-5,true,8,12,-8,20,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,28,-1,-4,4,0,4,4,true,-9,4,9,-5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,29,-1,0,0,0,0,0,true,0,5,0,5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,30,-1,2,4,-6,-2,-2,true,-2,8,2,6,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,31,-1,7,-7,0,-7,-7,true,12,-4,-12,8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,32,-1,8,-8,0,-8,-8,true,13,-12,-13,1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,33,-1,-1,-2,3,1,1,true,-5,-15,5,-20,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,34,-1,4,-4,0,-4,-4,true,4,-1,-4,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,35,-1,-2,2,0,2,2,true,-7,-3,7,-10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,36,-1,-4,10,-6,4,4,true,-1,9,1,8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,37,-1,3,-3,0,-3,-3,true,5,-3,-5,2,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,38,-1,0,0,0,0,0,true,3,2,-3,5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,39,-1,-4,-8,12,4,4,true,-9,-11,9,-20,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,40,-1,0,0,0,0,0,true,0,5,0,5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,41,-1,-8,8,0,8,8,true,-12,3,12,-9,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,42,-1,-4,-8,12,4,4,true,1,16,-1,17,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,43,-1,-6,6,0,6,6,true,-1,2,1,1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,44,-1,2,-2,0,-2,-2,true,-2,-6,2,-8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,45,-1,-2,5,-3,2,2,true,-2,11,2,9,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,46,-1,2,-2,0,-2,-2,true,-3,-7,3,-10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,47,-1,8,-8,0,-8,-8,true,11,-3,-11,8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,48,-1,4,8,-12,-4,-4,true,6,5,-6,11,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,49,-1,-3,3,0,3,3,true,0,5,0,5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,50,-1,8,-8,0,-8,-8,true,3,-8,-3,-5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,51,-1,2,4,-6,-2,-2,true,2,-12,-2,-10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,52,-1,8,-8,0,-8,-8,true,4,-13,-4,-9,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,53,-1,-6,6,0,6,6,true,-1,9,1,8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,54,-1,-10,-2,12,10,10,true,-5,6,5,1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,55,-1,1,-1,0,-1,-1,true,-3,-5,3,-8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,56,-1,0,0,0,0,0,true,0,3,0,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,57,-1,0,0,0,0,0,true,-5,-17,5,-22,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,58,-1,0,0,0,0,0,true,3,5,-3,8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,59,-1,5,-5,0,-5,-5,true,7,-5,-7,2,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,60,-1,-2,-4,6,2,2,true,1,19,-1,20,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,61,-1,12,-12,0,-12,-12,true,7,-12,-7,-5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,62,-1,-14,14,0,14,14,true,-14,19,14,5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,63,-1,4,-10,6,-4,-4,true,0,6,0,6,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
3,64,-1,-8,8,0,8,8,true,-3,11,3,8,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,1,1,1,1,0,1,1,true,1,4,1,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,2,1,-2,-2,0,-2,-2,true,-7,3,-7,10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,3,1,-1,-1,0,-1,-1,true,2,1,2,-1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,4,1,2,2,0,2,2,true,4,7,4,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,5,1,1,-4,5,1,1,true,4,4,4,0,true,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,6,1,2,2,0,2,2,true,-3,-2,-3,1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,7,1,-2,-2,0,-2,-2,true,-2,-7,-2,-5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,8,1,0,0,0,0,0,true,-4,0,-4,4,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,9,1,-2,-2,0,-2,-2,true,3,-2,3,-5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,10,1,-2,8,-10,-2,-2,true,3,-32,3,-35,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,11,1,1,1,0,1,1,true,-3,-3,-3,0,true,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,12,1,-2,-2,0,-2,-2,true,-2,1,-2,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,13,1,4,4,0,4,4,true,-1,9,-1,10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,14,1,4,4,0,4,4,true,7,6,7,-1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,15,1,-1,4,-5,-1,-1,true,1,19,1,18,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,16,1,-4,-4,0,-4,-4,true,-1,-1,-1,0,true,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,17,1,-2,-2,0,-2,-2,true,-7,-6,-7,1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,18,1,4,4,0,4,4,true,4,-1,4,-5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,19,1,0,0,0,0,0,true,-4,0,-4,4,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,20,1,2,-8,10,2,2,true,7,12,7,5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,21,1,2,2,0,2,2,true,7,-3,7,-10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,22,1,-2,-2,0,-2,-2,true,-6,-6,-6,0,true,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,23,1,-1,-1,0,-1,-1,true,-1,2,-1,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,24,1,0,0,0,0,0,true,-5,5,-5,10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,25,1,-4,-9,5,-4,-4,true,-1,13,-1,14,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,26,1,-8,-8,0,-8,-8,true,-6,-3,-6,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,27,1,5,5,0,5,5,true,8,8,8,0,true,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,28,1,-4,-4,0,-4,-4,true,-9,-8,-9,1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,29,1,0,0,0,0,0,true,0,-5,0,-5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,30,1,2,-8,10,2,2,true,-2,-23,-2,-21,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,31,1,7,7,0,7,7,true,12,7,12,-5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,32,1,8,8,0,8,8,true,13,3,13,-10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,33,1,-1,-1,0,-1,-1,true,-5,-5,-5,0,true,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,34,1,4,4,0,4,4,true,4,7,4,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,35,1,-2,8,-10,-2,-2,true,-7,3,-7,10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,36,1,-4,-4,0,-4,-4,true,-1,-2,-1,-1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,37,1,3,3,0,3,3,true,5,8,5,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,38,1,0,0,0,0,0,true,3,3,3,0,true,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,39,1,-4,-4,0,-4,-4,true,-9,-8,-9,1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,40,1,0,0,0,0,0,true,0,-25,0,-25,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,41,1,-8,-8,0,-8,-8,true,-12,-8,-12,4,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,42,1,-4,-4,0,-4,-4,true,1,-4,1,-5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,43,1,-6,-6,0,-6,-6,true,-1,-11,-1,-10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,44,1,2,2,0,2,2,true,-2,-2,-2,0,true,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,45,1,-2,8,-10,-2,-2,true,-2,26,-2,28,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,46,1,2,2,0,2,2,true,-3,7,-3,10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,47,1,8,8,0,8,8,true,11,10,11,-1,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,48,1,4,4,0,4,4,true,6,9,6,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,49,1,-3,-3,0,-3,-3,true,0,0,0,0,true,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,50,1,8,18,-10,8,8,true,3,29,3,26,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,51,1,2,2,0,2,2,true,2,-3,2,-5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,52,1,8,8,0,8,8,true,4,8,4,4,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,53,1,-6,-6,0,-6,-6,true,-1,-6,-1,-5,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,54,1,-10,-10,0,-10,-10,true,-5,-15,-5,-10,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,55,1,1,-4,5,1,1,true,-3,-23,-3,-20,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
5,56,1,0,0,0,0,0,true,0,3,0,3,false,NO_GAMMA0_11_QUOTIENT_OWNER,NUMERICALLY_CERTIFIED
