word,translation_power,base_matrix,translated_conjugate_matrix,base_period_proxy,translated_period_proxy,absolute_residual,q_cutoff,quadrature_panels,evidence_token
LLLRRLRRR,2,"[[37,10],[11,3]]","[[59,-102],[11,-19]]",-0.6346046521397753,-0.6346046521397738,1.5543122344752192e-15,192,512,NUMERICAL_OBSERVATION
LLLRRRLRR,-2,"[[36,13],[11,4]]","[[14,33],[11,26]]",0.6346046521397773,0.6346046521397761,1.2212453270876722e-15,192,512,NUMERICAL_OBSERVATION
LLLRRRLRR,-1,"[[36,13],[11,4]]","[[25,34],[11,15]]",0.6346046521397773,0.6346046521397773,0.0,192,512,NUMERICAL_OBSERVATION
LLLRRRLRR,1,"[[36,13],[11,4]]","[[47,-30],[11,-7]]",0.6346046521397773,0.6346046521397778,4.440892098500626e-16,192,512,NUMERICAL_OBSERVATION
LLLRRRLRR,2,"[[36,13],[11,4]]","[[58,-95],[11,-18]]",0.6346046521397773,0.6346046521397781,7.771561172376096e-16,192,512,NUMERICAL_OBSERVATION
LLRLRRRRR,-2,"[[28,5],[11,2]]","[[6,13],[11,24]]",-1.269209304279553,-1.2692093042795531,2.220446049250313e-16,192,512,NUMERICAL_OBSERVATION
LLRLRRRRR,-1,"[[28,5],[11,2]]","[[17,20],[11,13]]",-1.269209304279553,-1.269209304279553,0.0,192,512,NUMERICAL_OBSERVATION
LLRLRRRRR,1,"[[28,5],[11,2]]","[[39,-32],[11,-9]]",-1.269209304279553,-1.2692093042795534,4.440892098500626e-16,192,512,NUMERICAL_OBSERVATION
LLRLRRRRR,2,"[[28,5],[11,2]]","[[50,-91],[11,-20]]",-1.269209304279553,-1.2692093042795534,4.440892098500626e-16,192,512,NUMERICAL_OBSERVATION
LLRRRRRLR,-2,"[[24,13],[11,6]]","[[2,5],[11,28]]",1.2692093042795545,1.2692093042795543,2.220446049250313e-16,192,512,NUMERICAL_OBSERVATION
LLRRRRRLR,-1,"[[24,13],[11,6]]","[[13,20],[11,17]]",1.2692093042795545,1.269209304279554,4.440892098500626e-16,192,512,NUMERICAL_OBSERVATION
LLRRRRRLR,1,"[[24,13],[11,6]]","[[35,-16],[11,-5]]",1.2692093042795545,1.2692093042795543,2.220446049250313e-16,192,512,NUMERICAL_OBSERVATION
LLRRRRRLR,2,"[[24,13],[11,6]]","[[46,-67],[11,-16]]",1.2692093042795545,1.2692093042795547,2.220446049250313e-16,192,512,NUMERICAL_OBSERVATION
