manifestation_id	query_id	result_rank	exact_frozen_query	retrieved_at_utc	interface	http_status	candidate_doi	candidate_title	candidate_year	dedup_identity	duplicate_of	decision	matched_source_id	decision_reason
M014	Q07	2	On some algorithmic properties of hyperbolic groups Lysenok DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1007/s00209-002-0434-6	Growth tightness for word hyperbolic groups	2002	doi:10.1007/s00209-002-0434-6		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M015	Q08	1	Word Length Formulae and Normal Forms of Conjugacy Classes in Surface Groups	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.6035/14104.2018.199237	Conjugacy classes and normal subgroups in finite groups		doi:10.6035/14104.2018.199237		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M016	Q08	2	Word Length Formulae and Normal Forms of Conjugacy Classes in Surface Groups	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.4995/thesis/10251/125710	Conjugacy classes and factorised groups		doi:10.4995/thesis/10251/125710		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M017	Q09	1	finite abelian surface coverings Jassim DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1017/s0017089500005632	Finite abelian surface coverings	1984	doi:10.1017/s0017089500005632		RETAIN_EXISTING_INVENTORY_RECORD	P32-S07	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
M018	Q09	2	finite abelian surface coverings Jassim DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1515/jgth.2002.015	Bounds in groups with finite abelian coverings or with finite derived groups	2002	doi:10.1515/jgth.2002.015		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M019	Q10	1	Riemannian coverings and isospectral manifolds Sunada DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.2307/1971195	Riemannian Coverings and Isospectral Manifolds	1985	doi:10.2307/1971195		RETAIN_EXISTING_INVENTORY_RECORD	P32-S08	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
M020	Q10	2	Riemannian coverings and isospectral manifolds Sunada DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.31390/gradschool_disstheses.4975	Constructing Isospectral but Nonisometric Riemannian Manifolds.		doi:10.31390/gradschool_disstheses.4975		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M021	Q11	1	geodesics in homology classes Phillips Sarnak DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1215/s0012-7094-87-05515-3	Geodesics in homology classes	1987	doi:10.1215/s0012-7094-87-05515-3		RETAIN_EXISTING_INVENTORY_RECORD	P32-S09	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
M022	Q11	2	geodesics in homology classes Phillips Sarnak DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1007/pl00004484	A note on asymptotic expansions for closed geodesics in homology classes	2001	doi:10.1007/pl00004484		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M023	Q12	1	homology and closed geodesics compact Riemann surface Katsuda Sunada DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.2307/2374542	Homology and Closed Geodesics in a Compact Riemann Surface	1988	doi:10.2307/2374542		RETAIN_EXISTING_INVENTORY_RECORD	P32-S10	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
M024	Q12	2	homology and closed geodesics compact Riemann surface Katsuda Sunada DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1090/s0002-9939-1986-0826498-5	Homology of closed geodesics in certain Riemannian manifolds	1986	doi:10.1090/s0002-9939-1986-0826498-5		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M025	Q13	1	closed orbits in homology classes Katsuda Sunada DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1007/bf02699875	Closed orbits in homology classes	1990	doi:10.1007/bf02699875		RETAIN_EXISTING_INVENTORY_RECORD	P32-S11	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
M026	Q13	2	closed orbits in homology classes Katsuda Sunada DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.5802/tsg.121	Closed orbits of Anosov flows in homology classes	1991	doi:10.5802/tsg.121		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M027	Q14	1	prime geodesic lift finite Galois cover order splitting formula	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.2139/ssrn.7364645	Prime-Star Localization and Second-Order Spectra of Finite Divisibility Cover Graphs	2026	doi:10.2139/ssrn.7364645		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M028	Q14	2	prime geodesic lift finite Galois cover order splitting formula	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1142/9789814366359_0013	Hensel's Lemma and Hensel Lift	2011	doi:10.1142/9789814366359_0013		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M029	Q15	1	Selberg harmonic analysis discontinuous groups Dirichlet series journal page	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1007/978-1-4899-7407-5_79	Harmonic analysis on real reductive groups III. The Maass-Selberg relations and the Plancherel formula	1984	doi:10.1007/978-1-4899-7407-5_79		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M030	Q15	2	Selberg harmonic analysis discontinuous groups Dirichlet series journal page	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1007/978-0-387-85469-4_9	The Selberg Trace Formula		doi:10.1007/978-0-387-85469-4_9		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M031	Q16	1	Ruelle zeta-functions expanding maps Anosov flows DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1007/bf01403069	Zeta-functions for expanding maps and Anosov flows	1976	doi:10.1007/bf01403069		RETAIN_EXISTING_INVENTORY_RECORD	P32-S14	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
M032	Q16	2	Ruelle zeta-functions expanding maps Anosov flows DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1090/crmm/004	Dynamical Zeta Functions for Piecewise Monotone Maps of the Interval	2004	doi:10.1090/crmm/004		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M033	Q17	1	Artin formalism Selberg zeta finite index cover DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.5802/jtnb.657	Artin formalism for Selberg zeta functions of co-finite Kleinian groups	2009	doi:10.5802/jtnb.657		RETAIN_EXISTING_INVENTORY_RECORD	P32-S16	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
M034	Q17	2	Artin formalism Selberg zeta finite index cover DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1007/s00209-005-0806-9	The Selberg trace formula and Selberg zeta-function for cofinite Kleinian groups with finite-dimensional unitary representations	2005	doi:10.1007/s00209-005-0806-9		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M035	Q18	1	Anosov flows dynamical zeta functions DOI errata	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.4007/annals.2013.178.2.6	Anosov flows and dynamical zeta functions	2013	doi:10.4007/annals.2013.178.2.6		RETAIN_EXISTING_INVENTORY_RECORD	P32-S17	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
M036	Q18	2	Anosov flows dynamical zeta functions DOI errata	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.24033/asens.2290	Dynamical zeta functions for Anosov flows via microlocal analysis	2016	doi:10.24033/asens.2290		RETAIN_EXISTING_INVENTORY_RECORD	P32-S18	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
M037	Q19	1	primitive geodesic counting tail Re(s)>1 negatively curved surface	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1016/j.crma.2017.09.003	Rigidity of negatively curved geodesic orbit Finsler spaces	2017	doi:10.1016/j.crma.2017.09.003		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M038	Q19	2	primitive geodesic counting tail Re(s)>1 negatively curved surface	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.2307/1970869	Geodesic Flows on Negatively Curved Manifolds I	1972	doi:10.2307/1970869		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M039	Q20	1	renewal theorems symbolic dynamics geodesic flows Lalley DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1007/bf02392732	Renewal theorems in symbolic dynamics, with applications to geodesic flows, noneuclidean tessellations and their fractal limits	1989	doi:10.1007/bf02392732		RETAIN_EXISTING_INVENTORY_RECORD	P32-S19	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
M040	Q20	2	renewal theorems symbolic dynamics geodesic flows Lalley DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.5802/tsg.106	Symbolic dynamics and geodesic flows	1992	doi:10.5802/tsg.106		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M041	Q21	1	closed orbits homology classes Anosov flows Sharp DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1017/s0143385700007434	Closed orbits in homology classes for Anosov flows	1993	doi:10.1017/s0143385700007434		RETAIN_EXISTING_INVENTORY_RECORD	P32-S21	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
M042	Q21	2	closed orbits homology classes Anosov flows Sharp DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.5802/tsg.121	Closed orbits of Anosov flows in homology classes	1991	doi:10.5802/tsg.121	M026	REMOVE_DUPLICATE_MANIFESTATION		Same current-replay identity as M026; DOI first, normalized title fallback.
M043	Q22	1	exponential error terms growth functions negatively curved surfaces DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1353/ajm.1998.0041	Exponential error terms for growth functions on negatively curved surfaces	1998	doi:10.1353/ajm.1998.0041		RETAIN_EXISTING_INVENTORY_RECORD	P32-S22	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
M044	Q22	2	exponential error terms growth functions negatively curved surfaces DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1021/jacs.9b05501.s001	Negatively Curved Warped Nanographene Self-Assembled on Metal Surfaces		doi:10.1021/jacs.9b05501.s001		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M045	Q23	1	On ordered division rings Neumann DOI Hahn series	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1090/s0002-9947-1949-0032593-5	On ordered division rings	1949	doi:10.1090/s0002-9947-1949-0032593-5		RETAIN_EXISTING_INVENTORY_RECORD	P32-S23	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
M046	Q23	2	On ordered division rings Neumann DOI Hahn series	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1007/978-94-009-2472-7_17	Partially Ordered *-Division Rings	1989	doi:10.1007/978-94-009-2472-7_17		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M047	Q24	1	A graded subring of an inverse limit of polynomial rings Snellman	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1142/9789812792310_0011	RINGS GRADED BY INVERSE SEMIGROUPS	2000	doi:10.1142/9789812792310_0011		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M048	Q24	2	A graded subring of an inverse limit of polynomial rings Snellman	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1007/bf01193849	On isomorphic polynomial rings over graded rings	1984	doi:10.1007/bf01193849		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M049	Q25	1	Embedding codimension of the space of arcs infinite variable power series DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1017/fmp.2021.19	Embedding codimension of the space of arcs	2022	doi:10.1017/fmp.2021.19		RETAIN_EXISTING_INVENTORY_RECORD	P32-S25	Unique current manifestation matches the frozen admitted inventory by DOI or normalized title.
M050	Q25	2	Embedding codimension of the space of arcs infinite variable power series DOI	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.1515/crll.1977.293-294.52	Compact maps and embeddings from an infinite type power series space to a finite type power series space.	1977	doi:10.1515/crll.1977.293-294.52		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
M051	Q26	1	NIST DLMF logarithm power series	2026-09-04T00:30:00Z	Crossref REST query.bibliographic; rows=2 (Q26 retained rank 1 only)	200	10.4213/tvp102	The Chover-type law of the iterated logarithm for certain power series	2005	doi:10.4213/tvp102		SCREEN_OUT_OUTSIDE_FROZEN_SCOPE		Unique top-ranked metadata manifestation does not match the frozen admitted inventory and is not adopted by this bounded replay.
