left,right,X_left,X_right,ordinary_polynomial_sum,required_target,ordinary_sum_is_required_monic_monomial
3,7,x_3,x_7,(x_3)+(x_7),x_2*x_5,0
3,8,x_3,x_2^3,(x_3)+(x_2^3),x_11,0
3,9,x_3,x_3^2,(x_3)+(x_3^2),x_2^2*x_3,0
3,10,x_3,x_2*x_5,(x_3)+(x_2*x_5),x_13,0
3,11,x_3,x_11,(x_3)+(x_11),x_2*x_7,0
3,12,x_3,x_2^2*x_3,(x_3)+(x_2^2*x_3),x_3*x_5,0
4,1,x_2^2,1,(x_2^2)+(1),x_5,0
4,2,x_2^2,x_2,(x_2^2)+(x_2),x_2*x_3,0
4,3,x_2^2,x_3,(x_2^2)+(x_3),x_7,0
4,4,x_2^2,x_2^2,(x_2^2)+(x_2^2),x_2^3,0
4,5,x_2^2,x_5,(x_2^2)+(x_5),x_3^2,0
4,6,x_2^2,x_2*x_3,(x_2^2)+(x_2*x_3),x_2*x_5,0
4,7,x_2^2,x_7,(x_2^2)+(x_7),x_11,0
4,8,x_2^2,x_2^3,(x_2^2)+(x_2^3),x_2^2*x_3,0
4,9,x_2^2,x_3^2,(x_2^2)+(x_3^2),x_13,0
4,10,x_2^2,x_2*x_5,(x_2^2)+(x_2*x_5),x_2*x_7,0
4,11,x_2^2,x_11,(x_2^2)+(x_11),x_3*x_5,0
4,12,x_2^2,x_2^2*x_3,(x_2^2)+(x_2^2*x_3),x_2^4,0
5,1,x_5,1,(x_5)+(1),x_2*x_3,0
5,2,x_5,x_2,(x_5)+(x_2),x_7,0
5,3,x_5,x_3,(x_5)+(x_3),x_2^3,0
5,4,x_5,x_2^2,(x_5)+(x_2^2),x_3^2,0
5,5,x_5,x_5,(x_5)+(x_5),x_2*x_5,0
5,6,x_5,x_2*x_3,(x_5)+(x_2*x_3),x_11,0
5,7,x_5,x_7,(x_5)+(x_7),x_2^2*x_3,0
5,8,x_5,x_2^3,(x_5)+(x_2^3),x_13,0
5,9,x_5,x_3^2,(x_5)+(x_3^2),x_2*x_7,0
5,10,x_5,x_2*x_5,(x_5)+(x_2*x_5),x_3*x_5,0
5,11,x_5,x_11,(x_5)+(x_11),x_2^4,0
5,12,x_5,x_2^2*x_3,(x_5)+(x_2^2*x_3),x_17,0
6,1,x_2*x_3,1,(x_2*x_3)+(1),x_7,0
6,2,x_2*x_3,x_2,(x_2*x_3)+(x_2),x_2^3,0
6,3,x_2*x_3,x_3,(x_2*x_3)+(x_3),x_3^2,0
6,4,x_2*x_3,x_2^2,(x_2*x_3)+(x_2^2),x_2*x_5,0
6,5,x_2*x_3,x_5,(x_2*x_3)+(x_5),x_11,0
6,6,x_2*x_3,x_2*x_3,(x_2*x_3)+(x_2*x_3),x_2^2*x_3,0
6,7,x_2*x_3,x_7,(x_2*x_3)+(x_7),x_13,0
6,8,x_2*x_3,x_2^3,(x_2*x_3)+(x_2^3),x_2*x_7,0
6,9,x_2*x_3,x_3^2,(x_2*x_3)+(x_3^2),x_3*x_5,0
6,10,x_2*x_3,x_2*x_5,(x_2*x_3)+(x_2*x_5),x_2^4,0
6,11,x_2*x_3,x_11,(x_2*x_3)+(x_11),x_17,0
6,12,x_2*x_3,x_2^2*x_3,(x_2*x_3)+(x_2^2*x_3),x_2*x_3^2,0
7,1,x_7,1,(x_7)+(1),x_2^3,0
7,2,x_7,x_2,(x_7)+(x_2),x_3^2,0
7,3,x_7,x_3,(x_7)+(x_3),x_2*x_5,0
7,4,x_7,x_2^2,(x_7)+(x_2^2),x_11,0
7,5,x_7,x_5,(x_7)+(x_5),x_2^2*x_3,0
7,6,x_7,x_2*x_3,(x_7)+(x_2*x_3),x_13,0
7,7,x_7,x_7,(x_7)+(x_7),x_2*x_7,0
7,8,x_7,x_2^3,(x_7)+(x_2^3),x_3*x_5,0
7,9,x_7,x_3^2,(x_7)+(x_3^2),x_2^4,0
7,10,x_7,x_2*x_5,(x_7)+(x_2*x_5),x_17,0
7,11,x_7,x_11,(x_7)+(x_11),x_2*x_3^2,0
7,12,x_7,x_2^2*x_3,(x_7)+(x_2^2*x_3),x_19,0
8,1,x_2^3,1,(x_2^3)+(1),x_3^2,0
8,2,x_2^3,x_2,(x_2^3)+(x_2),x_2*x_5,0
8,3,x_2^3,x_3,(x_2^3)+(x_3),x_11,0
8,4,x_2^3,x_2^2,(x_2^3)+(x_2^2),x_2^2*x_3,0
8,5,x_2^3,x_5,(x_2^3)+(x_5),x_13,0
8,6,x_2^3,x_2*x_3,(x_2^3)+(x_2*x_3),x_2*x_7,0
8,7,x_2^3,x_7,(x_2^3)+(x_7),x_3*x_5,0
8,8,x_2^3,x_2^3,(x_2^3)+(x_2^3),x_2^4,0
8,9,x_2^3,x_3^2,(x_2^3)+(x_3^2),x_17,0
8,10,x_2^3,x_2*x_5,(x_2^3)+(x_2*x_5),x_2*x_3^2,0
8,11,x_2^3,x_11,(x_2^3)+(x_11),x_19,0
8,12,x_2^3,x_2^2*x_3,(x_2^3)+(x_2^2*x_3),x_2^2*x_5,0
9,1,x_3^2,1,(x_3^2)+(1),x_2*x_5,0
9,2,x_3^2,x_2,(x_3^2)+(x_2),x_11,0
9,3,x_3^2,x_3,(x_3^2)+(x_3),x_2^2*x_3,0
9,4,x_3^2,x_2^2,(x_3^2)+(x_2^2),x_13,0
9,5,x_3^2,x_5,(x_3^2)+(x_5),x_2*x_7,0
9,6,x_3^2,x_2*x_3,(x_3^2)+(x_2*x_3),x_3*x_5,0
9,7,x_3^2,x_7,(x_3^2)+(x_7),x_2^4,0
9,8,x_3^2,x_2^3,(x_3^2)+(x_2^3),x_17,0
9,9,x_3^2,x_3^2,(x_3^2)+(x_3^2),x_2*x_3^2,0
9,10,x_3^2,x_2*x_5,(x_3^2)+(x_2*x_5),x_19,0
9,11,x_3^2,x_11,(x_3^2)+(x_11),x_2^2*x_5,0
9,12,x_3^2,x_2^2*x_3,(x_3^2)+(x_2^2*x_3),x_3*x_7,0
10,1,x_2*x_5,1,(x_2*x_5)+(1),x_11,0
10,2,x_2*x_5,x_2,(x_2*x_5)+(x_2),x_2^2*x_3,0
10,3,x_2*x_5,x_3,(x_2*x_5)+(x_3),x_13,0
10,4,x_2*x_5,x_2^2,(x_2*x_5)+(x_2^2),x_2*x_7,0
10,5,x_2*x_5,x_5,(x_2*x_5)+(x_5),x_3*x_5,0
10,6,x_2*x_5,x_2*x_3,(x_2*x_5)+(x_2*x_3),x_2^4,0
10,7,x_2*x_5,x_7,(x_2*x_5)+(x_7),x_17,0
10,8,x_2*x_5,x_2^3,(x_2*x_5)+(x_2^3),x_2*x_3^2,0
10,9,x_2*x_5,x_3^2,(x_2*x_5)+(x_3^2),x_19,0
10,10,x_2*x_5,x_2*x_5,(x_2*x_5)+(x_2*x_5),x_2^2*x_5,0
10,11,x_2*x_5,x_11,(x_2*x_5)+(x_11),x_3*x_7,0
10,12,x_2*x_5,x_2^2*x_3,(x_2*x_5)+(x_2^2*x_3),x_2*x_11,0
11,1,x_11,1,(x_11)+(1),x_2^2*x_3,0
11,2,x_11,x_2,(x_11)+(x_2),x_13,0
11,3,x_11,x_3,(x_11)+(x_3),x_2*x_7,0
11,4,x_11,x_2^2,(x_11)+(x_2^2),x_3*x_5,0
11,5,x_11,x_5,(x_11)+(x_5),x_2^4,0
11,6,x_11,x_2*x_3,(x_11)+(x_2*x_3),x_17,0
11,7,x_11,x_7,(x_11)+(x_7),x_2*x_3^2,0
11,8,x_11,x_2^3,(x_11)+(x_2^3),x_19,0
11,9,x_11,x_3^2,(x_11)+(x_3^2),x_2^2*x_5,0
11,10,x_11,x_2*x_5,(x_11)+(x_2*x_5),x_3*x_7,0
11,11,x_11,x_11,(x_11)+(x_11),x_2*x_11,0
11,12,x_11,x_2^2*x_3,(x_11)+(x_2^2*x_3),x_23,0
12,1,x_2^2*x_3,1,(x_2^2*x_3)+(1),x_13,0
12,2,x_2^2*x_3,x_2,(x_2^2*x_3)+(x_2),x_2*x_7,0
12,3,x_2^2*x_3,x_3,(x_2^2*x_3)+(x_3),x_3*x_5,0
12,4,x_2^2*x_3,x_2^2,(x_2^2*x_3)+(x_2^2),x_2^4,0
12,5,x_2^2*x_3,x_5,(x_2^2*x_3)+(x_5),x_17,0
12,6,x_2^2*x_3,x_2*x_3,(x_2^2*x_3)+(x_2*x_3),x_2*x_3^2,0
12,7,x_2^2*x_3,x_7,(x_2^2*x_3)+(x_7),x_19,0
12,8,x_2^2*x_3,x_2^3,(x_2^2*x_3)+(x_2^3),x_2^2*x_5,0
12,9,x_2^2*x_3,x_3^2,(x_2^2*x_3)+(x_3^2),x_3*x_7,0
12,10,x_2^2*x_3,x_2*x_5,(x_2^2*x_3)+(x_2*x_5),x_2*x_11,0
12,11,x_2^2*x_3,x_11,(x_2^2*x_3)+(x_11),x_23,0
12,12,x_2^2*x_3,x_2^2*x_3,(x_2^2*x_3)+(x_2^2*x_3),x_2^3*x_3,0
