degree,word,length,support_size,actual_supertrace,expected,exact,mixed_killed_by_projector,analytic_sector_changes_selector
4,1|1|0|1,4,2,0,0,True,True,False
4,1|1|0|2,4,3,0,0,True,True,False
4,1|1|1|0,4,2,0,0,True,True,False
4,1|1|1|1,4,1,1/6561,1/6561,True,True,False
4,1|1|1|2,4,2,0,0,True,True,False
4,1|1|2|0,4,3,0,0,True,True,False
4,1|1|2|1,4,2,0,0,True,True,False
4,1|1|2|2,4,2,0,0,True,True,False
4,1|2|0|0,4,3,0,0,True,True,False
4,1|2|0|1,4,3,0,0,True,True,False
4,1|2|0|2,4,3,0,0,True,True,False
4,1|2|1|0,4,3,0,0,True,True,False
4,1|2|1|1,4,2,0,0,True,True,False
4,1|2|1|2,4,2,0,0,True,True,False
4,1|2|2|0,4,3,0,0,True,True,False
4,1|2|2|1,4,2,0,0,True,True,False
4,1|2|2|2,4,2,0,0,True,True,False
4,2|0|0|0,4,2,0,0,True,True,False
4,2|0|0|1,4,3,0,0,True,True,False
4,2|0|0|2,4,2,0,0,True,True,False
4,2|0|1|0,4,3,0,0,True,True,False
4,2|0|1|1,4,3,0,0,True,True,False
4,2|0|1|2,4,3,0,0,True,True,False
4,2|0|2|0,4,2,0,0,True,True,False
4,2|0|2|1,4,3,0,0,True,True,False
4,2|0|2|2,4,2,0,0,True,True,False
4,2|1|0|0,4,3,0,0,True,True,False
4,2|1|0|1,4,3,0,0,True,True,False
4,2|1|0|2,4,3,0,0,True,True,False
4,2|1|1|0,4,3,0,0,True,True,False
4,2|1|1|1,4,2,0,0,True,True,False
4,2|1|1|2,4,2,0,0,True,True,False
4,2|1|2|0,4,3,0,0,True,True,False
4,2|1|2|1,4,2,0,0,True,True,False
4,2|1|2|2,4,2,0,0,True,True,False
4,2|2|0|0,4,2,0,0,True,True,False
4,2|2|0|1,4,3,0,0,True,True,False
4,2|2|0|2,4,2,0,0,True,True,False
4,2|2|1|0,4,3,0,0,True,True,False
4,2|2|1|1,4,2,0,0,True,True,False
4,2|2|1|2,4,2,0,0,True,True,False
4,2|2|2|0,4,2,0,0,True,True,False
4,2|2|2|1,4,2,0,0,True,True,False
4,2|2|2|2,4,1,1/390625,1/390625,True,True,False
