candidate_id,system,prime_count,period,fixed_points,method,evidence_status,seed,precision,cutoff
SD-C02,full_binary,,27,134217728,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,27,439204,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,28,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,28,268435456,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,28,710647,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,29,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,29,536870912,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,29,1149851,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,SD-C02,,30,1,exact theorem,PROVED,20260812,exact_integer,30
SD-C02,full_binary,,30,1073741824,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,golden_mean,,30,1860498,exact matrix/formula,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,1,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,2,3,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,3,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,4,15,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,5,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,6,15,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,7,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,8,175,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,9,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,10,63,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,11,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,12,1695,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,13,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,14,255,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,15,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,16,14911,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,17,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,18,1023,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,19,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,20,125055,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,21,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,22,4095,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,23,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,24,1024255,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,25,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,26,16383,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,27,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,28,8290815,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,29,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,1,30,65535,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,1,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,2,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,3,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,4,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,5,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,6,13,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,7,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,8,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,9,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,10,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,11,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,12,481,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,13,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,14,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,15,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,16,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,17,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,18,1021,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,19,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,20,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,21,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,22,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,23,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,24,44209,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,25,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,26,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,27,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,28,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,29,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,2,30,5953,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,1,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,2,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,3,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,4,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,5,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,6,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,7,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,8,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,9,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,10,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,11,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,12,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,13,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,14,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,15,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,16,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,17,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,18,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,19,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,20,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,21,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,22,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,23,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,24,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,25,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,26,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,27,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,28,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,29,1,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
SD-C02,finite_modulus_approximant,3,30,4501,exact inclusion-exclusion,PROVED,20260812,exact_integer,30
