p,kind,replicate,seed,num_cycles,fixed_points,largest_cycle,largest_cycle_fraction,short_threshold,short_cycle_count,short_point_mass,short_point_mass_fraction,cycle_length_gcd,symmetric_cycle_count,symmetric_degree,symmetric_degree_fraction,paired_cycle_pair_count,paired_base_degree
2,matched_reversible,12,15878835422030127511,1,0,4,1.0,2,0,0,0.0,4,1,4,1.0,0,0
2,uniform_permutation,13,2119360573509015356,2,1,3,0.75,2,1,1,0.25,1,,,,,
2,matched_reversible,13,605892725953908944,1,0,4,1.0,2,0,0,0.0,4,1,4,1.0,0,0
2,uniform_permutation,14,15580101511439783758,3,2,2,0.5,2,3,4,1.0,1,,,,,
2,matched_reversible,14,6927273997183737467,3,2,2,0.5,2,3,4,1.0,1,1,2,0.5,1,1
2,uniform_permutation,15,17504858385035742509,1,0,4,1.0,2,0,0,0.0,4,,,,,
2,matched_reversible,15,4040962987475280057,1,0,4,1.0,2,0,0,0.0,4,1,4,1.0,0,0
3,uniform_permutation,0,1313305706068628346,3,1,5,0.5555555555555556,3,2,4,0.4444444444444444,1,,,,,
3,matched_reversible,0,6307901387660049903,3,0,3,0.3333333333333333,3,3,9,1.0,3,3,9,1.0,0,0
3,uniform_permutation,1,12062568030443679125,3,1,6,0.6666666666666666,3,2,3,0.3333333333333333,1,,,,,
3,matched_reversible,1,2065675173439808474,3,1,6,0.6666666666666666,3,2,3,0.3333333333333333,1,3,9,1.0,0,0
3,uniform_permutation,2,5639241529432282711,2,0,7,0.7777777777777778,3,1,2,0.2222222222222222,1,,,,,
3,matched_reversible,2,10782484516803520552,3,0,3,0.3333333333333333,3,3,9,1.0,3,3,9,1.0,0,0
3,uniform_permutation,3,17043137372416063248,2,0,7,0.7777777777777778,3,1,2,0.2222222222222222,1,,,,,
3,matched_reversible,3,17813436076808134822,3,1,5,0.5555555555555556,3,2,4,0.4444444444444444,1,3,9,1.0,0,0
3,uniform_permutation,4,2500576610292339546,3,0,5,0.5555555555555556,3,2,4,0.4444444444444444,1,,,,,
3,matched_reversible,4,5332826425889287874,3,0,5,0.5555555555555556,3,2,4,0.4444444444444444,1,3,9,1.0,0,0
3,uniform_permutation,5,2305866180551705637,2,1,8,0.8888888888888888,3,1,1,0.1111111111111111,1,,,,,
3,matched_reversible,5,208625750625708249,3,1,4,0.4444444444444444,3,1,1,0.1111111111111111,1,3,9,1.0,0,0
3,uniform_permutation,6,4821269696011832154,4,2,4,0.4444444444444444,3,3,5,0.5555555555555556,1,,,,,
3,matched_reversible,6,14033974631135632815,3,0,4,0.4444444444444444,3,2,5,0.5555555555555556,1,3,9,1.0,0,0
3,uniform_permutation,7,3194904232640534952,5,3,3,0.3333333333333333,3,5,9,1.0,1,,,,,
3,matched_reversible,7,17832936255057647950,3,1,4,0.4444444444444444,3,1,1,0.1111111111111111,1,3,9,1.0,0,0
3,uniform_permutation,8,7226315573526351335,3,1,6,0.6666666666666666,3,2,3,0.3333333333333333,1,,,,,
3,matched_reversible,8,3548604136737449763,3,1,5,0.5555555555555556,3,2,4,0.4444444444444444,1,3,9,1.0,0,0
3,uniform_permutation,9,5799800658327132354,1,0,9,1.0,3,0,0,0.0,9,,,,,
3,matched_reversible,9,17356427058458134466,3,1,5,0.5555555555555556,3,2,4,0.4444444444444444,1,3,9,1.0,0,0
3,uniform_permutation,10,3419337629424936937,3,1,4,0.4444444444444444,3,1,1,0.1111111111111111,1,,,,,
3,matched_reversible,10,7507025386277318232,3,0,4,0.4444444444444444,3,2,5,0.5555555555555556,1,3,9,1.0,0,0
3,uniform_permutation,11,5033258178117483679,3,0,5,0.5555555555555556,3,2,4,0.4444444444444444,1,,,,,
3,matched_reversible,11,5433230882163393052,5,3,3,0.3333333333333333,3,5,9,1.0,1,3,7,0.7777777777777778,1,1
3,uniform_permutation,12,4234852478973237804,1,0,9,1.0,3,0,0,0.0,9,,,,,
3,matched_reversible,12,3465469884587565869,3,1,6,0.6666666666666666,3,2,3,0.3333333333333333,1,3,9,1.0,0,0
3,uniform_permutation,13,4657448702036620814,3,2,7,0.7777777777777778,3,2,2,0.2222222222222222,1,,,,,
3,matched_reversible,13,9019988239874139688,5,4,5,0.5555555555555556,3,4,4,0.4444444444444444,1,3,7,0.7777777777777778,1,1
3,uniform_permutation,14,5830526594547292584,3,2,7,0.7777777777777778,3,2,2,0.2222222222222222,1,,,,,
3,matched_reversible,14,12565409156387819607,3,2,7,0.7777777777777778,3,2,2,0.2222222222222222,1,3,9,1.0,0,0
3,uniform_permutation,15,981338143233788242,4,2,5,0.5555555555555556,3,3,4,0.4444444444444444,1,,,,,
3,matched_reversible,15,2293111770350493356,3,1,6,0.6666666666666666,3,2,3,0.3333333333333333,1,3,9,1.0,0,0
5,uniform_permutation,0,17243423038177421267,4,3,22,0.88,5,3,3,0.12,1,,,,,
5,matched_reversible,0,10685034594434611057,5,1,8,0.32,5,2,3,0.12,1,5,25,1.0,0,0
5,uniform_permutation,1,14964420493685533722,3,0,11,0.44,5,0,0,0.0,1,,,,,
5,matched_reversible,1,3274948784025422719,5,1,12,0.48,5,3,6,0.24,1,5,25,1.0,0,0
5,uniform_permutation,2,13892550788637383401,3,2,23,0.92,5,2,2,0.08,1,,,,,
5,matched_reversible,2,2089282850610506042,5,3,14,0.56,5,3,3,0.12,1,5,25,1.0,0,0
5,uniform_permutation,3,462488805582625747,1,0,25,1.0,5,0,0,0.0,25,,,,,
5,matched_reversible,3,15139974684818593151,5,0,12,0.48,5,4,13,0.52,1,5,25,1.0,0,0
5,uniform_permutation,4,13780944249238815762,7,2,7,0.28,5,5,11,0.44,1,,,,,
5,matched_reversible,4,17710281922439037734,7,4,9,0.36,5,5,9,0.36,1,5,23,0.92,1,1
5,uniform_permutation,5,11863333985482480317,5,1,13,0.52,5,3,6,0.24,1,,,,,
5,matched_reversible,5,7065745915102277896,5,1,12,0.48,5,3,6,0.24,1,5,25,1.0,0,0
5,uniform_permutation,6,2240097927490377750,3,0,11,0.44,5,1,5,0.2,1,,,,,
5,matched_reversible,6,15340961938718432125,5,0,11,0.44,5,3,8,0.32,1,5,25,1.0,0,0
5,uniform_permutation,7,15695866902240566024,7,2,7,0.28,5,4,6,0.24,1,,,,,
5,matched_reversible,7,6673840326603492507,5,2,10,0.4,5,2,2,0.08,1,5,25,1.0,0,0
5,uniform_permutation,8,3461265269491118671,2,0,20,0.8,5,1,5,0.2,5,,,,,
5,matched_reversible,8,5580381107863414463,5,2,13,0.52,5,3,6,0.24,1,5,25,1.0,0,0
5,uniform_permutation,9,7527878796544196302,5,2,12,0.48,5,3,5,0.2,1,,,,,
5,matched_reversible,9,18186661583671308209,5,0,8,0.32,5,3,11,0.44,1,5,25,1.0,0,0
5,uniform_permutation,10,10670398857129577932,1,0,25,1.0,5,0,0,0.0,25,,,,,
5,matched_reversible,10,13312367608753015100,7,1,11,0.44,5,6,14,0.56,1,5,21,0.84,1,2
5,uniform_permutation,11,15632791584641900665,3,0,13,0.52,5,1,3,0.12,1,,,,,
5,matched_reversible,11,8619598635147804143,5,1,7,0.28,5,3,11,0.44,1,5,25,1.0,0,0
5,uniform_permutation,12,5951875643939022702,3,0,19,0.76,5,2,6,0.24,1,,,,,
5,matched_reversible,12,4675236149384767722,7,4,7,0.28,5,4,4,0.16,1,5,23,0.92,1,1
5,uniform_permutation,13,9508876039045165257,3,0,16,0.64,5,1,2,0.08,1,,,,,
5,matched_reversible,13,7641626395676926428,5,1,12,0.48,5,3,6,0.24,1,5,25,1.0,0,0
5,uniform_permutation,14,11987422642405803553,5,1,9,0.36,5,3,7,0.28,1,,,,,
5,matched_reversible,14,4027657581084865241,5,0,8,0.32,5,3,10,0.4,1,5,25,1.0,0,0
5,uniform_permutation,15,3663758619413188507,4,0,9,0.36,5,2,7,0.28,1,,,,,
5,matched_reversible,15,13517658541558102762,5,2,10,0.4,5,2,2,0.08,1,5,25,1.0,0,0
7,uniform_permutation,0,10318928894363173566,8,2,18,0.3673469387755102,7,5,9,0.1836734693877551,1,,,,,
7,matched_reversible,0,10821017789951712261,7,1,25,0.5102040816326531,7,6,24,0.4897959183673469,1,7,49,1.0,0,0
7,uniform_permutation,1,7850271371038590778,9,3,18,0.3673469387755102,7,6,10,0.20408163265306123,1,,,,,
7,matched_reversible,1,15163821855197515337,9,2,13,0.2653061224489796,7,6,20,0.40816326530612246,1,7,47,0.9591836734693877,1,1
7,uniform_permutation,2,3462055286915422552,4,0,37,0.7551020408163265,7,3,12,0.24489795918367346,1,,,,,
7,matched_reversible,2,14472361100243147730,7,0,20,0.40816326530612246,7,5,20,0.40816326530612246,1,7,49,1.0,0,0
7,uniform_permutation,3,4026084459832491534,3,0,26,0.5306122448979592,7,1,2,0.04081632653061224,1,,,,,
7,matched_reversible,3,8086010347796115801,9,3,17,0.3469387755102041,7,7,20,0.40816326530612246,1,7,47,0.9591836734693877,1,1
7,uniform_permutation,4,9839299275945229254,6,1,22,0.4489795918367347,7,4,11,0.22448979591836735,1,,,,,
7,matched_reversible,4,18058218157215848810,11,3,12,0.24489795918367346,7,10,37,0.7551020408163265,1,7,27,0.5510204081632653,2,11
7,uniform_permutation,5,11828029283376928024,3,0,30,0.6122448979591837,7,1,3,0.061224489795918366,1,,,,,
7,matched_reversible,5,17994661593962260913,9,3,14,0.2857142857142857,7,6,18,0.3673469387755102,1,7,47,0.9591836734693877,1,1
7,uniform_permutation,6,13288011522727145313,5,1,23,0.46938775510204084,7,2,4,0.08163265306122448,1,,,,,
7,matched_reversible,6,16210944325221077683,9,2,12,0.24489795918367346,7,6,17,0.3469387755102041,1,7,47,0.9591836734693877,1,1
7,uniform_permutation,7,2475699256555217527,3,1,43,0.8775510204081632,7,2,6,0.12244897959183673,1,,,,,
7,matched_reversible,7,5403907329464549310,7,1,21,0.42857142857142855,7,4,12,0.24489795918367346,1,7,49,1.0,0,0
7,uniform_permutation,8,18338391731375088815,3,1,43,0.8775510204081632,7,2,6,0.12244897959183673,1,,,,,
7,matched_reversible,8,13796045175847190179,15,8,14,0.2857142857142857,7,13,25,0.5102040816326531,1,7,37,0.7551020408163265,4,6
7,uniform_permutation,9,309809580186770813,4,1,27,0.5510204081632653,7,1,1,0.02040816326530612,1,,,,,
7,matched_reversible,9,14593601409520687938,9,4,21,0.42857142857142855,7,7,11,0.22448979591836735,1,7,47,0.9591836734693877,1,1
7,uniform_permutation,10,1207227793608651615,6,1,23,0.46938775510204084,7,4,10,0.20408163265306123,1,,,,,
7,matched_reversible,10,4395100281828608681,7,1,16,0.32653061224489793,7,4,14,0.2857142857142857,1,7,49,1.0,0,0
7,uniform_permutation,11,3627735600922061605,6,0,16,0.32653061224489793,7,3,15,0.30612244897959184,1,,,,,
7,matched_reversible,11,1107460645986626266,11,5,19,0.3877551020408163,7,9,18,0.3673469387755102,1,7,45,0.9183673469387755,2,2
7,uniform_permutation,12,1084790084901172001,3,0,35,0.7142857142857143,7,1,3,0.061224489795918366,1,,,,,
7,matched_reversible,12,7484707238992270663,7,2,16,0.32653061224489793,7,4,9,0.1836734693877551,1,7,49,1.0,0,0
7,uniform_permutation,13,1598106882843191427,5,3,39,0.7959183673469388,7,4,10,0.20408163265306123,1,,,,,
7,matched_reversible,13,8806608159535692615,7,0,11,0.22448979591836735,7,4,19,0.3877551020408163,1,7,49,1.0,0,0
7,uniform_permutation,14,12758626125970153531,5,2,40,0.8163265306122449,7,4,9,0.1836734693877551,1,,,,,
7,matched_reversible,14,10026313736331002602,11,0,13,0.2653061224489796,7,10,36,0.7346938775510204,1,7,37,0.7551020408163265,2,6
7,uniform_permutation,15,1524924788981401999,2,0,31,0.6326530612244898,7,0,0,0.0,1,,,,,
7,matched_reversible,15,1297957232319583592,7,0,17,0.3469387755102041,7,4,12,0.24489795918367346,1,7,49,1.0,0,0
11,uniform_permutation,0,17119948877095399090,3,0,69,0.5702479338842975,11,1,6,0.049586776859504134,1,,,,,
11,matched_reversible,0,6693652517873689252,11,0,31,0.256198347107438,11,8,60,0.49586776859504134,1,11,121,1.0,0,0
11,uniform_permutation,1,6296739839937801640,3,0,58,0.4793388429752066,11,0,0,0.0,1,,,,,
11,matched_reversible,1,7817707194320041314,11,0,44,0.36363636363636365,11,8,51,0.4214876033057851,1,11,121,1.0,0,0
11,uniform_permutation,2,888158555986950471,5,1,63,0.5206611570247934,11,2,9,0.0743801652892562,1,,,,,
11,matched_reversible,2,17224682799046217844,11,1,32,0.2644628099173554,11,8,42,0.34710743801652894,1,11,121,1.0,0,0
11,uniform_permutation,3,14885273570122154850,4,0,81,0.6694214876033058,11,2,17,0.14049586776859505,1,,,,,
11,matched_reversible,3,13463247376378641847,11,0,36,0.2975206611570248,11,8,48,0.39669421487603307,1,11,121,1.0,0,0
11,uniform_permutation,4,1223022214815878696,8,3,46,0.38016528925619836,11,5,16,0.1322314049586777,1,,,,,
11,matched_reversible,4,8636808408622991332,15,2,23,0.19008264462809918,11,11,58,0.4793388429752066,1,11,115,0.9504132231404959,2,3
11,uniform_permutation,5,6164080574708066923,2,0,113,0.9338842975206612,11,1,8,0.06611570247933884,1,,,,,
11,matched_reversible,5,6910361617383808915,11,1,33,0.2727272727272727,11,7,27,0.2231404958677686,1,11,121,1.0,0,0
11,uniform_permutation,6,18193677283815329280,3,0,54,0.4462809917355372,11,0,0,0.0,1,,,,,
11,matched_reversible,6,17353812001707282274,13,2,45,0.371900826446281,11,10,45,0.371900826446281,1,11,119,0.9834710743801653,1,1
11,uniform_permutation,7,15025366554471215604,4,0,71,0.5867768595041323,11,1,8,0.06611570247933884,1,,,,,
11,matched_reversible,7,2766514678979894604,13,4,52,0.4297520661157025,11,10,38,0.3140495867768595,1,11,119,0.9834710743801653,1,1
11,uniform_permutation,8,17070378004126070566,3,0,44,0.36363636363636365,11,0,0,0.0,1,,,,,
11,matched_reversible,8,14575472940257634068,11,0,26,0.21487603305785125,11,7,45,0.371900826446281,1,11,121,1.0,0,0
11,uniform_permutation,9,907510329345271259,5,1,102,0.8429752066115702,11,4,19,0.15702479338842976,1,,,,,
11,matched_reversible,9,9408870986163172460,11,1,29,0.2396694214876033,11,9,64,0.5289256198347108,1,11,121,1.0,0,0
11,uniform_permutation,10,267979311340527549,6,1,55,0.45454545454545453,11,4,17,0.14049586776859505,1,,,,,
11,matched_reversible,10,13835912141924403635,11,1,36,0.2975206611570248,11,7,32,0.2644628099173554,1,11,121,1.0,0,0
11,uniform_permutation,11,981558687892769461,8,2,50,0.4132231404958678,11,5,21,0.17355371900826447,1,,,,,
11,matched_reversible,11,14866525162310016125,11,1,27,0.2231404958677686,11,6,30,0.24793388429752067,1,11,121,1.0,0,0
11,uniform_permutation,12,16524266149344778376,4,0,80,0.6611570247933884,11,2,9,0.0743801652892562,1,,,,,
11,matched_reversible,12,13320913643321223485,11,2,51,0.4214876033057851,11,9,43,0.35537190082644626,1,11,121,1.0,0,0
11,uniform_permutation,13,10832751567223056822,5,1,86,0.7107438016528925,11,2,7,0.05785123966942149,1,,,,,
11,matched_reversible,13,7616719978300893308,13,1,26,0.21487603305785125,11,9,47,0.3884297520661157,1,11,115,0.9504132231404959,1,3
11,uniform_permutation,14,9062626602894904853,5,0,45,0.371900826446281,11,2,16,0.1322314049586777,1,,,,,
11,matched_reversible,14,5914397710590718563,13,0,25,0.2066115702479339,11,9,46,0.38016528925619836,1,11,109,0.9008264462809917,1,6
11,uniform_permutation,15,13843174390128032107,3,1,64,0.5289256198347108,11,1,1,0.008264462809917356,1,,,,,
11,matched_reversible,15,13863509005688859965,11,1,26,0.21487603305785125,11,6,33,0.2727272727272727,1,11,121,1.0,0,0
13,uniform_permutation,0,13088434237111409203,9,0,57,0.33727810650887574,13,5,28,0.16568047337278108,1,,,,,
13,matched_reversible,0,640022586399585688,13,1,38,0.22485207100591717,13,9,47,0.2781065088757396,1,13,169,1.0,0,0
13,uniform_permutation,1,1784009796223623575,5,0,143,0.8461538461538461,13,3,7,0.04142011834319527,1,,,,,
13,matched_reversible,1,2039664915504121303,15,0,50,0.2958579881656805,13,10,41,0.24260355029585798,1,13,165,0.9763313609467456,1,2
13,uniform_permutation,2,4078936118288257556,4,1,124,0.7337278106508875,13,2,14,0.08284023668639054,1,,,,,
13,matched_reversible,2,197040186177923615,15,3,31,0.1834319526627219,13,8,28,0.16568047337278108,1,13,167,0.9881656804733728,1,1
13,uniform_permutation,3,5881431542132623783,4,2,153,0.9053254437869822,13,2,2,0.011834319526627219,1,,,,,
13,matched_reversible,3,11314108216310839717,15,2,37,0.21893491124260356,13,10,55,0.3254437869822485,1,13,167,0.9881656804733728,1,1
13,uniform_permutation,4,6919825605000344052,7,2,85,0.5029585798816568,13,2,2,0.011834319526627219,1,,,,,
13,matched_reversible,4,7845521597764804075,19,3,30,0.17751479289940827,13,15,87,0.514792899408284,1,13,147,0.8698224852071006,3,11
13,uniform_permutation,5,15936213851008955139,5,1,123,0.727810650887574,13,3,10,0.05917159763313609,1,,,,,
13,matched_reversible,5,13770095617872516247,17,1,29,0.17159763313609466,13,11,55,0.3254437869822485,1,13,153,0.9053254437869822,2,8
13,uniform_permutation,6,6366787753935709430,6,0,97,0.5739644970414202,13,3,9,0.05325443786982249,1,,,,,
13,matched_reversible,6,1450863009812444144,21,9,30,0.17751479289940827,13,17,83,0.4911242603550296,1,13,161,0.9526627218934911,4,4
13,uniform_permutation,7,6659365383162690122,9,2,73,0.4319526627218935,13,6,25,0.14792899408284024,1,,,,,
13,matched_reversible,7,14254520936404683044,13,4,62,0.3668639053254438,13,10,44,0.2603550295857988,1,13,169,1.0,0,0
13,uniform_permutation,8,1133926205781422159,7,1,125,0.7396449704142012,13,5,25,0.14792899408284024,1,,,,,
13,matched_reversible,8,14840069315887708969,13,2,55,0.3254437869822485,13,10,70,0.41420118343195267,1,13,169,1.0,0,0
13,uniform_permutation,9,15679414095657220871,8,1,83,0.4911242603550296,13,5,20,0.11834319526627218,1,,,,,
13,matched_reversible,9,2314439164987914973,15,1,49,0.28994082840236685,13,11,66,0.3905325443786982,1,13,165,0.9763313609467456,1,2
13,uniform_permutation,10,6576532375740133113,4,2,160,0.9467455621301775,13,3,9,0.05325443786982249,1,,,,,
13,matched_reversible,10,7709469010977633614,13,0,54,0.31952662721893493,13,7,38,0.22485207100591717,1,13,169,1.0,0,0
13,uniform_permutation,11,7461037391265118224,7,2,62,0.3668639053254438,13,2,2,0.011834319526627219,1,,,,,
13,matched_reversible,11,11690786096024046137,19,1,26,0.15384615384615385,13,14,71,0.42011834319526625,1,13,135,0.7988165680473372,3,17
13,uniform_permutation,12,17959944782932007438,5,1,151,0.893491124260355,13,4,18,0.10650887573964497,1,,,,,
13,matched_reversible,12,1005177242719451779,13,0,41,0.24260355029585798,13,9,60,0.35502958579881655,1,13,169,1.0,0,0
13,uniform_permutation,13,10618397952558891497,7,2,81,0.47928994082840237,13,4,9,0.05325443786982249,1,,,,,
13,matched_reversible,13,13912821213657225888,15,3,38,0.22485207100591717,13,11,59,0.34911242603550297,1,13,167,0.9881656804733728,1,1
13,uniform_permutation,14,11698744006005916138,4,1,161,0.9526627218934911,13,3,8,0.047337278106508875,1,,,,,
13,matched_reversible,14,9076402403831806499,13,2,77,0.4556213017751479,13,11,71,0.42011834319526625,1,13,169,1.0,0,0
13,uniform_permutation,15,13395002308198335309,7,0,115,0.6804733727810651,13,4,25,0.14792899408284024,1,,,,,
13,matched_reversible,15,8543963491836038155,13,0,38,0.22485207100591717,13,9,54,0.31952662721893493,1,13,169,1.0,0,0
17,uniform_permutation,0,16230760466658906446,7,1,168,0.5813148788927336,17,5,19,0.0657439446366782,1,,,,,
17,matched_reversible,0,15190866217427048074,17,0,47,0.16262975778546712,17,8,51,0.17647058823529413,1,17,289,1.0,0,0
17,uniform_permutation,1,14965434155109969265,8,1,239,0.8269896193771626,17,7,50,0.17301038062283736,1,,,,,
17,matched_reversible,1,2653818628463422527,19,1,32,0.11072664359861592,17,11,78,0.2698961937716263,1,17,285,0.986159169550173,1,2
17,uniform_permutation,2,1517796005095431673,8,1,112,0.3875432525951557,17,4,15,0.05190311418685121,1,,,,,
17,matched_reversible,2,8576083528703780417,21,4,60,0.20761245674740483,17,16,116,0.4013840830449827,1,17,283,0.9792387543252595,2,3
17,uniform_permutation,3,688210138166885518,7,2,227,0.7854671280276817,17,5,16,0.05536332179930796,1,,,,,
17,matched_reversible,3,5855634430592622363,17,2,46,0.15916955017301038,17,10,82,0.2837370242214533,1,17,289,1.0,0,0
17,uniform_permutation,4,7250579659853519054,7,1,117,0.40484429065743943,17,3,5,0.01730103806228374,1,,,,,
17,matched_reversible,4,922838666723465860,19,3,57,0.1972318339100346,17,15,115,0.39792387543252594,1,17,287,0.9930795847750865,1,1
17,uniform_permutation,5,12131047816514198028,4,0,141,0.48788927335640137,17,2,25,0.08650519031141868,1,,,,,
17,matched_reversible,5,15505791903010595187,19,4,49,0.1695501730103806,17,13,66,0.22837370242214533,1,17,287,0.9930795847750865,1,1
17,uniform_permutation,6,4707669780830890627,10,1,105,0.3633217993079585,17,5,24,0.08304498269896193,1,,,,,
17,matched_reversible,6,7260083360398083422,19,1,38,0.1314878892733564,17,11,67,0.23183391003460208,1,17,285,0.986159169550173,1,2
17,uniform_permutation,7,6251097732594691775,5,0,104,0.35986159169550175,17,1,10,0.03460207612456748,1,,,,,
17,matched_reversible,7,9596536321611879523,19,2,44,0.1522491349480969,17,12,97,0.3356401384083045,1,17,287,0.9930795847750865,1,1
17,uniform_permutation,8,3503908375588898885,8,2,240,0.8304498269896193,17,6,29,0.10034602076124567,1,,,,,
17,matched_reversible,8,6942870861125751730,21,2,49,0.1695501730103806,17,15,93,0.3217993079584775,1,17,283,0.9792387543252595,2,3
17,uniform_permutation,9,14007838925866718960,5,1,273,0.9446366782006921,17,4,16,0.05536332179930796,1,,,,,
17,matched_reversible,9,5958407317538894749,17,1,53,0.18339100346020762,17,9,62,0.21453287197231835,1,17,289,1.0,0,0
17,uniform_permutation,10,13284545220873840744,5,0,208,0.7197231833910035,17,3,39,0.13494809688581316,1,,,,,
17,matched_reversible,10,5183767431410214191,27,8,57,0.1972318339100346,17,21,97,0.3356401384083045,1,17,267,0.9238754325259516,5,11
17,uniform_permutation,11,11913428000010464828,6,1,244,0.8442906574394463,17,4,23,0.07958477508650519,1,,,,,
17,matched_reversible,11,2384244741585943012,17,1,78,0.2698961937716263,17,11,80,0.2768166089965398,1,17,289,1.0,0,0
17,uniform_permutation,12,1647612237616845937,8,2,224,0.7750865051903114,17,6,32,0.11072664359861592,1,,,,,
17,matched_reversible,12,16824425258389347346,19,2,46,0.15916955017301038,17,13,112,0.3875432525951557,1,17,257,0.889273356401384,1,16
17,uniform_permutation,13,1749592316402811750,7,2,139,0.4809688581314879,17,4,13,0.04498269896193772,1,,,,,
17,matched_reversible,13,17984561283614108322,17,3,67,0.23183391003460208,17,10,44,0.1522491349480969,1,17,289,1.0,0,0
17,uniform_permutation,14,1856555370986996902,4,0,190,0.657439446366782,17,2,12,0.04152249134948097,1,,,,,
17,matched_reversible,14,4311947943422083023,19,1,42,0.1453287197231834,17,12,95,0.328719723183391,1,17,277,0.9584775086505191,1,6
17,uniform_permutation,15,11361227650323383980,5,1,229,0.7923875432525952,17,3,18,0.06228373702422145,1,,,,,
17,matched_reversible,15,13709957313499493098,19,0,42,0.1453287197231834,17,13,107,0.370242214532872,1,17,275,0.9515570934256056,1,7
19,uniform_permutation,0,5519049089553525185,8,1,187,0.518005540166205,19,6,26,0.07202216066481995,1,,,,,
19,matched_reversible,0,6457330923482497612,19,2,76,0.21052631578947367,19,13,95,0.2631578947368421,1,19,361,1.0,0,0
19,uniform_permutation,1,16724458857876685586,4,1,342,0.9473684210526315,19,3,19,0.05263157894736842,1,,,,,
19,matched_reversible,1,16193552288071052513,21,0,41,0.11357340720221606,19,11,62,0.17174515235457063,1,19,357,0.9889196675900277,1,2
19,uniform_permutation,2,870671942268818975,7,1,235,0.6509695290858726,19,4,21,0.05817174515235457,1,,,,,
19,matched_reversible,2,4316532738670779411,23,4,54,0.14958448753462603,19,17,127,0.3518005540166205,1,19,357,0.9889196675900277,2,2
19,uniform_permutation,3,10953748820677255630,8,1,191,0.5290858725761773,19,4,27,0.07479224376731301,1,,,,,
19,matched_reversible,3,1116115484657014905,23,3,52,0.1440443213296399,19,15,85,0.23545706371191136,1,19,355,0.9833795013850416,2,3
19,uniform_permutation,4,4108630334746623387,10,1,120,0.33240997229916897,19,7,46,0.12742382271468145,1,,,,,
19,matched_reversible,4,1142867265989876634,19,1,65,0.18005540166204986,19,11,60,0.16620498614958448,1,19,361,1.0,0,0
19,uniform_permutation,5,8309060251432158260,5,1,307,0.850415512465374,19,3,16,0.0443213296398892,1,,,,,
19,matched_reversible,5,17671971696550760228,21,2,67,0.18559556786703602,19,16,143,0.3961218836565097,1,19,343,0.9501385041551247,1,9
19,uniform_permutation,6,11562103493214588310,6,0,275,0.7617728531855956,19,3,28,0.07756232686980609,1,,,,,
