source_size,source_topology,target,target_t0,map_values,image_size,constant,continuous,expected_continuity,expectation_match,scope
1,indiscrete,discrete_2,true,0,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,01011,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,01100,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,01101,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,01110,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,01111,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,10000,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,10001,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,10010,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,10011,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,10100,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,10101,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,10110,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,10111,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,11000,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,11001,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,11010,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,11011,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,11100,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,11101,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,11110,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,discrete_2,true,11111,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,00000,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,00001,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,00010,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,00011,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,00100,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,00101,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,00110,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,00111,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,01000,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,01001,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,01010,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,01011,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,01100,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,01101,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,01110,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,01111,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,10000,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,10001,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,10010,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,10011,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,10100,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,10101,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,10110,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,10111,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,11000,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,11001,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,11010,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,11011,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,11100,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,11101,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,11110,2,false,false,false,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,sierpinski_2,true,11111,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,00000,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,00001,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,00010,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,00011,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,00100,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,00101,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,00110,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,00111,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,01000,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,01001,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,01010,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,01011,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,01100,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,01101,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,01110,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,01111,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,10000,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,10001,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,10010,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,10011,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,10100,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,10101,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,10110,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,10111,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,11000,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,11001,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,11010,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,11011,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,11100,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,11101,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,11110,2,false,true,true,true,finite exhaustive topology control; not an actual-packet proof
5,indiscrete,indiscrete_2_negative,false,11111,1,true,true,true,true,finite exhaustive topology control; not an actual-packet proof
