k,seed,variable_values,presentation_permutation,edge_sum_sha256,determinant_sha256,exact_product_identity,presentation_shuffle_invariant,mixed_squarefree_log_coefficient,proves_too_much
3,15101,8/17;4/11;1/20,"(1, 2, 0)",0e8355d1ce55b4a733f37404552e0e8cf7a84f50a69b4cec384240be1d878575,982c659be04aab2562513f995186cf304ece64c02c4d308279fc83786f80d853,True,True,0,True
3,15102,2/11;7/13;9/10,"(0, 1, 2)",190084d32afc3b83b48517f7d1268362fc34823795919ba065180b290bf91c58,264c63220a395031388e732f34af6e74161bed078819709d901a90f68cbf2300,True,True,0,True
3,15103,4/17;3/5;7/17,"(0, 1, 2)",3f1e0e7173fa523926dd36a6c2412c5a107ab785567057ac6794be8c0dfb4cc0,de2438adce7949cf77d03c59f7a0182a37e65422aad2053df0094f91e558c19b,True,True,0,True
3,15104,5/11;1/2;2/5,"(1, 2, 0)",6cd5aa88bed98ff9b5a8dd67d07946164609269c5b2f6c94eb30012ca46f247c,591820cf1bb01934f19113904723ce61461b84d436102d0b491e7f86beb1cb9f,True,True,0,True
3,15105,1/19;1/17;3/19,"(1, 2, 0)",36195d3c8f7f3de8df7cfbf16a159a456db41bc6a0b8d299a1d24f0bbc5fb513,e269c86740451ea883e22e8ff3e7cfae1c9270760207d9e7fe37f4f3c84ff4d6,True,True,0,True
3,15106,3/11;9/20;2/3,"(1, 0, 2)",5692f1cf872d088aad44323c8e2f0878811ec2e6240b4aa7fc6ceec051457763,3d9e0949dfd88625c2042dd6d84f515e48907b31a7e8c4232c891613ddce9e00,True,True,0,True
3,15107,4/11;8/21;2/23,"(1, 2, 0)",26e1b80edafc92930bc576edb89122e061bbd508f1491b1772c70f1ba67c92d4,524cd8ebac2b43652b24db53435037053422b2160edb0f7433ee61733820200a,True,True,0,True
3,15108,2/23;5/19;1/13,"(0, 2, 1)",98253a1fac47e420fc5edeae46a1c0990a9a7bbd372ff03d461b15a2ec9f9b3b,7fa69ca866c17c9544c385c61ca08a8a7531f4d6f32fe924c0a36476b4c3b230,True,True,0,True
3,15109,9/16;7/18;1/4,"(2, 0, 1)",08c4028ca411f8a0589475432a74241b8bfb951f0b1f1deb8274136676fb41eb,518ba2f6763e2807f87fe47be3e7502c9757b075a86e002e6a1231b7e490dcb2,True,True,0,True
3,15110,3/7;8/17;3/13,"(2, 0, 1)",2113fae1f9b1a1b7a295b1a5307d61957b7c360f3877d44076335b880a7d486f,d1426509da23dc9d14ee68a87f3f263eac83a1694cf7a1e8c0308b0d5bc61001,True,True,0,True
3,15111,1/2;9/13;1/13,"(2, 0, 1)",ee6c8c23a3fd4954c61d1c524dfa756d916a51687d30ed78f50a2bf27ca198c0,c5f5601b78628cce93b28b610b3a3b920ad4c219bd36321ab4625516a6a03d37,True,True,0,True
3,15112,7/18;1/16;3/23,"(2, 1, 0)",888cdebb3a5e95cb67b310ca1ca4b1b51491ea9fd6d61e3dc9d47b393b03038c,0dfa6301c0e245dd2964aa8df0d2286f73741d6fe2c3dc669ce28ad45125b911,True,True,0,True
3,15113,5/12;9/16;1/12,"(1, 2, 0)",73441270d10489c98bdb7e30d3ee02781725d0997ec72d16dfe742c0dddfd49d,109bfa141a987c81c7bf54d74a8f81d40ad6bdf99a915e7267f5cfb9b37bb970,True,True,0,True
3,15114,1/9;5/21;6/17,"(2, 0, 1)",4ca33e33f18f20bf6aba3edb94e539ce61d91069d84b18ca7efa95d0563cc0b5,77a5fd72bba046546aa58c01c6de1de44a6618b6c783c9a9a841f80f9ef1fb9d,True,True,0,True
3,15115,7/11;1/17;1/11,"(1, 2, 0)",fd59ee89037f3d6c70f8f45d9e053996ff2b85feeff4dfffcc7ebe15d6802ecc,03a79c1c6dbe212167ab043cee5b000e24cfd7c0916ab3e18a85dda1e4808e08,True,True,0,True
4,15100,9/17;1/3;3/23;1/20,"(1, 3, 0, 2)",b90a07a35f171473f389a926ce9f2e605a8c9d542acd4d0218cb7261ec87038f,15acfed0c43bf33aa1ae5f8ab81b37e55b32018adcf38896817eb5d37d047b7b,True,True,0,True
4,15101,3/11;2/11;1/11;2/15,"(2, 0, 3, 1)",55878bfe265b65490b02e9cba06d0abf9fc432ff201764d3b909033bed03d9d6,111c264dad7a7f3e33145c615c523957f071ce60449e22bdd75d72f8b707568f,True,True,0,True
4,15102,2/11;7/13;8/17;3/11,"(0, 2, 1, 3)",2e7a0601b5e7b6fd82e4a1ca7a42cd01abf1a5ec5d682469ca60cbe2fb627c2d,77709573706321320d045339a82986daf5fdb3374a827941f67d0027371eeb27,True,True,0,True
4,15103,7/16;2/5;7/17;5/22,"(3, 1, 0, 2)",3e51b4a7874eca05aae674456572c048c8ad3ac97297612ccbca3179a1acc05e,c55e6aacb7ac9738653169ca59aa44d97f2d898d02e4ab4c5cbb8fbac109453a,True,True,0,True
4,15104,5/11;1/22;1/20;5/13,"(1, 2, 0, 3)",8cbec323b9425820fcd9210def73b2b914d4170e94d355d80d7d529e54b59fc0,75dd903b17ad2b1d94dca60bf1d380816c75c81124df9501d8cf11d7aaea22d6,True,True,0,True
4,15105,3/20;8/23;2/5;1/19,"(2, 0, 3, 1)",3e11aa95877219c517c7c9f2963980a66be4e04564b1c7b1a50a947259ed6146,b4242d9dd17c9a25e862669a19dfdf7b349b264535f52080cc100fd218eada39,True,True,0,True
4,15106,2/11;1/11;2/17;1/3,"(1, 3, 2, 0)",34eda6a89e4b20334d96da158c568c9557d69d3442f29a4f44034da4372050b5,55c6753290cd4dc8f758ddb6644d621c5d638bee2a5e913ce02fdc43147a3053,True,True,0,True
4,15107,4/15;6/11;1/12;5/17,"(0, 1, 2, 3)",ffb26e2af5c5f3371732522b6e86c97bd39214da9d07c4184f3adf9eb474af31,0b008cabca04ab98596eae7988bf379fe0e54f1ac237639bf7f625eb316d3b51,True,True,0,True
4,15108,5/17;1/2;9/11;2/5,"(3, 0, 2, 1)",9a41df52f87404ae5f5fc793b5eed8e42d42042ee2986cc14450c87773f71081,dde91eaa956d16080788c7849fab9752a584b03fb45d06cc7f03be925a8c0cde,True,True,0,True
4,15109,3/5;3/10;3/8;3/13,"(2, 3, 0, 1)",35c6d14050561ac829515c41fa245ceb86facb0d08121796b0e28a9a756cddc5,405128cbbbe30849071d27388b63581738264de0ba8c9ba4bbbddebafa1aacf8,True,True,0,True
4,15110,2/13;1/2;1/18;1/2,"(3, 2, 0, 1)",c4fcd3f0df21bac68079cee57a3cdca295fefc3c3bc1933500498443c67569b0,0b612d9bdbc075542ebfeef911089b16277a7f72da64c03827708a657d4d7a3a,True,True,0,True
4,15111,7/22;4/13;8/19;1/18,"(3, 1, 0, 2)",07d44439c7c2d65f159f7475efa63d7fb0645ddb86f0f5c24ab4d20b2497ea37,87ed48e5a32ae0cbfbab4c9e20d3c85f5d3083278cef412783d99a6c9f403c64,True,True,0,True
4,15112,4/17;1/4;1/18;1/11,"(1, 2, 3, 0)",d12cef457b1f42a35a38a02a2407dd4ef521f76458891e69b37e8eefd5af102d,d0c97cf5c2e7660f7407beebed204858e0e23d1b0eee73a7b467b5d9de82ea8b,True,True,0,True
4,15113,1/3;6/23;4/5;7/12,"(3, 0, 2, 1)",1df9d13e5a140c774f44f088093acae79aaf218acc7040e6f297facf9e896fc9,99678e957fa6e7cdd25964e1fc77fea4210d679646d1dd876ce51e112a407e0a,True,True,0,True
4,15114,7/13;1/11;1/5;1/3,"(3, 1, 0, 2)",1faff25198af187adc16c357f29b22ff3a71be490cb824becaa701e4a1ee1b25,2eb2f85cb01de6bc7a510a6063144364d15efb8b10d5cf2676d33dce5792ae76,True,True,0,True
4,15115,3/7;1/14;8/21;8/21,"(3, 2, 0, 1)",9e27914060a312d6ff9332ccc8dbe2db68bea5a445fc6fe08ad5083ceb290985,04bce16887878df1f8b1bbc9f932b94c1c64fb94c8e648ddd0fd1a9389b93fb2,True,True,0,True
5,15100,8/11;9/20;1/9;1/20;1/17,"(2, 1, 0, 3, 4)",7ab90cebc8bcd537c54cc4386502b037af892d04345e1b9e9572a95e5d41b6e5,e0d62ca62b4e53a730852f124c1deb17145fd813e86826a2f06e732ea2ea210d,True,True,0,True
5,15101,1/8;9/23;7/22;4/17;5/17,"(4, 0, 2, 3, 1)",be6228773b0539fce25fe589ac6a9e80afbc532008bf3e5cdd19b782955101a7,2cbd131afbf3bda6f2d4e29bd754132428c58817c5bae6660daf061cc902c6ca,True,True,0,True
5,15102,2/7;6/13;1/5;5/12;3/7,"(3, 4, 2, 1, 0)",3fdf0de8bd0974b4ce5cadfe23e24a8394dddf91446e9d3ee4719b0d85ab963c,681d4c1be4d34364afb395ab1565e81f40e98ef76c69f0cc5502741cb9f448da,True,True,0,True
5,15103,1/16;5/17;2/9;7/22;1/3,"(2, 3, 0, 4, 1)",085c7efaf13b02529ae72423cbe2c9cf9d0a48ec26dbce9695aa55c6596531e5,6494a288c2bc034fab688942eda80777f9da1bd51e6a60757dcdcb47f63c2e9e,True,True,0,True
5,15104,3/5;1/4;1/3;3/17;2/17,"(0, 1, 3, 2, 4)",e6d7833b2abf5250c31f8b58e0b091499a8d97da0553472e4c88fae51cc63a4c,058268fc6889d3f2e750cbe588ff81caea076967e9a75220665c26d3c7d32946,True,True,0,True
5,15105,1/14;7/20;4/7;1/11;6/23,"(1, 3, 4, 2, 0)",ef068822bd6a96ea93bbc746cf2eb90e4179c4101e85e6fcd380219d59fe2490,0fab1338ba829aff54d8a74c9f422504cdf41d42b267ca105e79cc2717526de3,True,True,0,True
5,15106,6/19;2/23;1/4;3/5;3/11,"(1, 2, 3, 4, 0)",79922950a9baaba37d1c220375e8bf960c0f1af6a49e2007caef979c6a1e6cd5,a4e66b1d28915c9d894aa8bc5ec5ffd12145e39b61b7417c58059287a9ab7f2b,True,True,0,True
5,15107,9/22;1/3;2/5;1/8;4/17,"(4, 2, 3, 1, 0)",f42b88c58107b674b7389ca217760e010a83d95af5bd61ca329d76e8b29a8927,73d63247b763b965985e862875fbd01ed8b5ce31f399cbbb571a28aba03acf65,True,True,0,True
5,15108,3/7;1/3;1/15;1/5;3/20,"(3, 4, 0, 1, 2)",04f67d8afe557057287eca9649de4455c6010bd305738ca70b6006f34e04541c,79e0271ec59cde07435b54d745da3cf2d08ee28b639bbca40ae91df2efd2f9b0,True,True,0,True
5,15109,1/2;1/21;3/7;6/17;6/17,"(2, 1, 0, 3, 4)",c9718d283716abe0e872001a24fbcafbe789130666c6ee077f1e81237983f581,7f766898e9cbee94dedac5349c388809be81fa7a34654857cb8ca0dd950b73bd,True,True,0,True
5,15110,1/13;9/19;1/12;1/5;1/3,"(1, 4, 3, 2, 0)",9857695635f89560853961151656238bd1930c5d9949fd8020b7f7a451f9b5d6,729a4d2753494f9ae2d76a9700a664c2d63612da5f92b75a99e255627781d241,True,True,0,True
5,15111,1/22;9/20;1/15;5/23;4/5,"(0, 4, 2, 3, 1)",4c6367106d8020a8e2c5a6e555a6477b6f4ffd4492eb83a4896753585c35937f,cc3d560d97eed9e5fee3c81fdca872144f91cc561589cca8e40e46c8ba876544,True,True,0,True
5,15112,8/17;1/5;1/4;7/23;1/3,"(4, 1, 2, 3, 0)",31d4dfffbbf41a13221687636b42a2226b668c844b3d8b7666f4045628e092d8,ee229cb96e3f40f0663c3319f622eb0215b07a97ac6f01a88d867c66575cb88a,True,True,0,True
5,15113,9/10;3/10;1/4;1/9;2/7,"(3, 1, 2, 0, 4)",90e3ecb4f1352fad02f6db03fae08f1be366d9461ad8a3d37a451b5a8ea60415,da951ee49d260d3c37eb7a33d91276ed34ed549194f5eb632bee50b5d68f1f0e,True,True,0,True
5,15114,3/14;5/23;1/3;1/2;1/2,"(4, 0, 3, 2, 1)",1898b576cf8ed3be299cb9a2d23cc35f1106569ee80b49a6b033c3d5409e1700,750072e776ac5c5f5b5d3b185d665e4132dcec67b9f8ba4492b8d7fc1ea22181,True,True,0,True
5,15115,5/17;9/10;1/6;1/7;3/7,"(4, 3, 1, 0, 2)",d375b8dd5181a8587dbe8ba6e850fbdf468d5897aa17152d482f97a73c55d97e,cf333ac14a95aaca8640f01db3f7e61df76c8a559aeb44f765455719b9035f23,True,True,0,True
6,15100,1/20;4/15;9/10;6/19;5/23;4/5,"(5, 2, 0, 3, 4, 1)",fe6fd4a5aae7dd573fd0b5d746436498e10a976fa67fd1dc3260ba8c4ef6be2d,e7c60d082a5aa8137c7a26e2231b898b8269bbec32975d24c797fcf3abef6ba1,True,True,0,True
6,15101,4/11;1/15;1/9;1/14;4/11;4/11,"(5, 2, 1, 0, 3, 4)",5cec0e26d9545727c20d756d672363c748d71e4523069c77b264d6a5126af4b4,d539fc60bc05fe17a4d88fd0ea648d7c51b399e91d227af57202f1845d53a77d,True,True,0,True
6,15102,3/22;7/22;1/20;2/11;1/16;1/21,"(2, 1, 5, 0, 4, 3)",5243a4305d8c261672e68e89cbcdf3631c2ce303b444c174a2f14aa920abd6ea,4fea06910825489274d9c66cd1a89ae1d7c6496f521fc8b6064d1565111db6b5,True,True,0,True
6,15103,1/12;3/11;1/3;6/11;2/3;2/7,"(1, 2, 4, 3, 5, 0)",7ea39e06f1bdb892dda9430f8694ce290a9047fecdb8b16d24535a03236e38df,4e7008e0778e30ef51035555cabd855a0ef13279adf2fbed5023e01b1825f30a,True,True,0,True
6,15104,5/12;9/19;5/12;1/14;6/23;2/17,"(5, 2, 0, 1, 3, 4)",e1ad0de7a9ac93f52a63d7f90cb43baeb8c5aa067d82057c419ba176019339ee,0c85e195d0309d7de4bffd2b7bc8e7529f73f6d46661ba670232b3310ace06fc,True,True,0,True
6,15105,7/23;1/21;5/16;3/7;9/20;1/9,"(1, 3, 5, 0, 2, 4)",fca6963a9e112eb98416dc7367730b25313c42438113500b49623055b8590292,704973e5d644b42dd8b98ab63c3d8f8c2f8960d93643a375f25d470dba140848,True,True,0,True
6,15106,1/2;8/21;1/2;7/12;8/19;5/12,"(0, 2, 1, 3, 5, 4)",7047d5ced68eb92ae3fa45ba726e92713c812d83a08a5b8d880e803c2cf18c8d,76f7f4b25b5140b10b15d4d62ccea715e65a82c3dac36b0b16f3243d53dc046d,True,True,0,True
6,15107,2/7;1/5;4/21;1/2;5/11;8/17,"(5, 1, 2, 0, 3, 4)",fef901df833d793fbf1c005a63a8cd3bdbbd14f3f519121ecf958433f2408ee6,94ab94fb45d5d0a84a87c7900e4e090aa556dd981a6566085efb360b86304434,True,True,0,True
6,15108,1/4;1/7;6/19;8/19;1/2;1/4,"(4, 5, 0, 2, 1, 3)",d637e6bc6925c05e4956802d7305adb01a3e88f73a3562a30de63330b4a4839f,f79031cbb14834e338ce254e15059ed37fa3d92a1f8a1559b42a19c768e944d8,True,True,0,True
6,15109,1/17;1/2;2/23;7/10;7/15;9/20,"(4, 5, 2, 3, 1, 0)",a65686a4e94fc44211ca846c2a54bc7af34c57e39fc5252593a05381adb1a26e,3c3b045ff5b6dd55f730603b2b4aa16860c97ecacd4e8e178a13a38402c8f920,True,True,0,True
6,15110,1/16;2/5;8/23;1/6;1/3;3/7,"(2, 3, 4, 5, 0, 1)",f5edbc6ee2d4a777ea583f8b06b5e9ce529838cd5d19c1e5baf935c16e8c256a,f111b0191d8b39f3c58b00dd305518c19a1db10c3bea711ac0fc32574804145f,True,True,0,True
6,15111,3/5;1/22;2/9;1/21;2/5;1/2,"(2, 4, 5, 1, 0, 3)",f3abcbf386017159984218a0abd2857cb03848be68309f84a2d0f0f64734d946,cf8fa4d01f03ff07e2740892b5acad7493e5bcdc4d3f1e1f8ab0a9fdb20faafc,True,True,0,True
6,15112,1/11;9/14;8/23;1/10;2/23;7/10,"(3, 0, 1, 5, 2, 4)",1844c75964a5c4b7f76879e3e40b9691bb4a97317c1495984b15165099ed9701,83ae1c55b5f5720340161b9b17f5a56754a701235a2fcbcf6117e0ff012f213d,True,True,0,True
6,15113,1/2;1/11;1/4;5/11;7/16;3/4,"(2, 1, 4, 5, 0, 3)",c804df554a3375b9a6a6974ff017252ad4c04bbee91790795c1c117c8066dda7,d83d24682608b96be976d943a2bd07c432254174ac2f2061ba39205a6e4e3876,True,True,0,True
6,15114,2/23;1/2;1/10;2/9;9/11;5/21,"(4, 5, 1, 0, 2, 3)",cda3feb0302abf279fb1d627112b9a6809012acd9d6f3ad24a309dd12af1c58d,817ab471e7bfb8ea51c044a8b8b5dfa2e6c214de20e7e260e53e0f2952c2a50e,True,True,0,True
6,15115,4/23;5/16;3/7;1/21;3/8;1/3,"(0, 5, 4, 1, 3, 2)",4e2da573a6decbe8fb62f84b524a7a5ac0b1c4797d970feb23274127bbe560a5,537b2de2996f036d4fbdbc03dc20478f18a5e472050ab93ff4e0bb14420fdf04,True,True,0,True
7,15100,2/15;2/5;7/23;7/19;1/8;1/2;4/11,"(0, 2, 4, 6, 5, 3, 1)",13891e2dc780c13cccf5f7ca295a698402c739736d2a0725e89e4b9584dda45f,d39d28f0316c70fd6d4464aa07c9ed5603014dc4f7962c3124038c64c1d081e3,True,True,0,True
7,15101,1/19;2/11;7/12;1/21;5/17;1/11;1/7,"(0, 3, 5, 4, 1, 6, 2)",133b6a481d2214a38aac8476180d69cc83c4ced4864c883145359c720052b582,66e07cb2ff709f772b45341b60aded457c6047b25aaf3bba74bf34fa6fb8faa4,True,True,0,True
7,15102,8/15;7/19;1/7;1/4;4/11;4/13;5/14,"(3, 6, 0, 4, 1, 2, 5)",3c8e9354f1cb4b10d04435750af538dda87f21a22139157d44970f38b27d4915,9976e672291942208ede76a38be4808ccfab4988a1c759ced3b8376669fb8b6e,True,True,0,True
7,15103,1/3;1/2;1/16;8/19;7/23;2/7;1/3,"(1, 4, 2, 5, 3, 6, 0)",c6855597c6f93f5d808fa8207c1dd31f23b2a27932cad1ba51b61622930c11f4,7ef6e437d29898c0bd4d76764289f30ef0e0827029b95ac302204f49392ec73a,True,True,0,True
7,15104,7/15;7/20;3/10;1/23;1/4;9/19;1/13,"(5, 6, 1, 0, 3, 4, 2)",83cc2e88c20a80f4e711834e994201b212d16b415ee46072831e5f88eae95e3c,18ab0e5df02e91e5b238ddf99c05974497c1ee27a3a81a5de085c4f60b1cf0b6,True,True,0,True
7,15105,5/12;5/11;4/15;3/4;4/13;1/17;4/13,"(3, 2, 6, 1, 5, 0, 4)",351c78a27a9f351069a02b45227c01cc3a241f2f06542e3492c48ed2d44dbed7,cd825a11594e7bbfa9fbdbb1ccc4877c4cb34d46b6a3cd787330f9fe5aaf2744,True,True,0,True
7,15106,1/4;1/6;9/17;6/17;3/8;1/10;7/20,"(2, 5, 1, 4, 3, 6, 0)",ef41547e53af74f04643e9ff46c01bfbb89b2b09c1869e4d8ce43b1a022eed38,3dfea2b2f4e1656009c846f7960868a584e7da222a1312fe072a7c0d669438bb,True,True,0,True
7,15107,7/15;1/11;1/16;1/4;3/5;2/17;7/12,"(1, 4, 5, 6, 0, 2, 3)",7693c902bc986bedb76171c9ddb29c1074866f00f8a76ca675315c8a561742ae,c16b6a6473a8b8ac208fdd3b77b8eefd2d5d8628f6cdf15d12cb96d871d2b7c9,True,True,0,True
7,15108,5/12;2/5;1/19;9/22;1/21;3/16;5/19,"(6, 5, 1, 3, 0, 2, 4)",77722e2f1efda1370345022f31dd3461ed4d09caca7bd6aee4c0cb15e9dab7ff,6eec139c0fd652301a5af83e238b542672bf1e49ef3f5349233d9e35b4a9a2e5,True,True,0,True
7,15109,5/14;1/2;7/12;3/16;2/23;3/19;7/18,"(5, 4, 6, 1, 0, 3, 2)",bca2080f38152bea33c70a37d9d05c305872a53560c2517fc9b11e71b7db6e81,caebf20c6469b6a5fc5824da29000ea29d10a430c402c5070b58598586d0f8ff,True,True,0,True
7,15110,2/3;4/17;7/22;2/15;4/5;2/5;1/3,"(2, 0, 1, 5, 3, 6, 4)",e456d63f7154ca5a1d6f09d6f988eab36ef6f9beb4d5ea2cb0d520caa837f461,84fcd07ba4cf5e5a18b7d15424cfe168486dac78f7c513a1c554e414a5b86d9c,True,True,0,True
7,15111,3/7;4/7;1/3;4/5;7/10;8/19;3/16,"(1, 5, 0, 6, 2, 3, 4)",a6371f83749ef59ce3bbb34da2699654056b9335cadd374d5e27729dccd649a8,c757a720558f60c9378caf14eed71a261fd78736e58f573ab2d9bb1df0006718,True,True,0,True
7,15112,4/15;2/11;5/18;9/14;1/15;7/15;2/7,"(2, 6, 3, 5, 0, 1, 4)",8799e86be28f47f74ed3deffacdf4a9856da2c8116073b678031b4fd025ad230,e255171e45f76faaa20d185ee218f61022236a3ab5e36eece2464a63074dd729,True,True,0,True
7,15113,1/14;4/21;1/2;7/18;5/18;9/19;2/5,"(3, 4, 5, 2, 0, 6, 1)",ad1ba6b4541238972a4f527a7c6d9788d15cec29e667fbd376a3969e68e86e48,1d9565ff948e2334aaa587d84490d4c3eecf31f538385b102a130ab7c4a061e4,True,True,0,True
7,15114,3/5;3/17;1/22;1/11;3/19;1/14;5/12,"(0, 5, 4, 2, 3, 1, 6)",cb0862176f6b8fb077374f904e6e50d9648610cadd5c44fdc7fd8d59ce886fe5,53e63420807b8242097970070d26404fdfbb91ffe58fc1b6b8b6a0cab5c890c8,True,True,0,True
7,15115,3/19;8/13;3/14;3/13;1/3;7/20;1/18,"(3, 4, 1, 5, 6, 0, 2)",59c633893109cc3382c5c4b343c6c03d543a7820a91e883a3d06f206d1628f33,d54c1bfbdd4586ca76aa2322e9d27d1365b988c22d7edfec0e6560ebd244ab74,True,True,0,True
8,15100,3/22;1/14;2/5;2/5;7/11;1/20;4/19;1/15,"(4, 1, 6, 5, 3, 0, 7, 2)",064b87df5a4c5e38daac742663ceb57c22f1e82bb81a203edc2092111a088f64,1126b9bcee76cb1e38adc8fad37c7bebcd005d64edc49cefac249d4cb4b5781f,True,True,0,True
8,15101,5/19;2/11;5/18;9/20;4/23;1/22;1/6;8/19,"(6, 7, 1, 3, 0, 5, 2, 4)",0dba14aadd80d050fa90aff5e317c85078599d014f67f442595d4b49e6a450bd,d8eb9c70e14da904c00c210a34c2b2be704128bb97b9669e5f65c4d418dfe062,True,True,0,True
8,15102,2/13;8/17;3/10;4/9;9/10;8/15;9/13;2/9,"(5, 4, 6, 2, 7, 1, 3, 0)",a07efff40c9a62f8e1100d70f83e75b27aa0d39f8d7312506a33dd5f3a9d7f99,a023218612a7516e9dfe3d6af9167e8af5593abefe1c5d35d32dab8d801a89ae,True,True,0,True
8,15103,3/17;1/13;5/21;3/19;8/17;1/3;7/10;8/17,"(1, 3, 7, 2, 6, 5, 4, 0)",e7b3e37bb74279f92880108c924b6b7f8da79226724f73c64b616789588be7a3,47a723253f77acf93fb3d166e2f44dcf2123910f2f172438a9925aa1c5bfefd7,True,True,0,True
8,15104,3/14;5/18;4/15;1/23;4/21;9/11;6/11;9/13,"(4, 7, 5, 3, 6, 0, 1, 2)",08872dc22d3e2418b8efdc0d923418791675642ad4b1bd43d3cab3306600dd5e,19c612e338c4e6132a37c88a3e5f6e10127506b5faf7fdf1632258be1adc4a1f,True,True,0,True
8,15105,9/16;4/21;1/13;1/18;9/20;1/19;1/3;3/10,"(7, 3, 6, 0, 2, 1, 4, 5)",2e927237e8f6fdd6e48109e31dd5006f85b226000add860d8ede3a2c6571615a,e522f4b13b67a3635ccb0a48d3265efc556cd60c1c94c33f07e0890091a42be9,True,True,0,True
8,15106,1/7;4/7;6/11;2/3;4/15;3/8;4/11;5/13,"(1, 4, 3, 0, 7, 5, 2, 6)",eff70a0f3c9402cee986546ba686f868371671565daf4d0abd635f4040650242,d09df38cdbf26aaebf2cdbd6aea0f32c64df63003c683083b95af7b1361dcd37,True,True,0,True
