canonical_id	aliases	origin_lanes	entry_class	count_current_breadth	disposition	literal_definition	definition_sources	disposition_sources	audit_notes
EPF	P;P_n;P(F);period_feedback;eventual_period_feedback	fifth_fresh_period_feedback	HISTORICAL_CONJUGATE_CONTROL	0	KILL_EXACT_HISTORICAL_OCL_CONJUGACY	Functions f:[0,n-1]->[0,n-1]; output at i is eventual cycle length of i under f minus1	scouting/fifth_fresh_20260905/period_feedback_reentry/THEOREM_CONTRACT_AND_PROOF.md	P201_REOPEN_ADJUDICATION.md|author_responses/P201_EXACT_OCL_CONJUGACY_RESPONSE.md	Exact conjugacy OCL composed H equals H composed P, H simultaneous cyclic relabelling. Old OCL explicitly killed; weight0 correction. Frozen51snapshots unchanged.
H_WORD_RANK	S01_lift	word_poset_pre_denominator	HISTORICAL_CONTROL	0	KILL_DIRECT_OWNER_LIFT	Full words mapped to strict earlier/suffix inversion ranks	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	Ledger does not freeze a unique direction; unresolved historical-control description, never credited.
H_DISTINCT_RANK	S05_lift	word_poset_pre_denominator	HISTORICAL_CONTROL	0	KILL_DIRECT_SCOUT_REPEAT	Full words mapped to number of distinct smaller earlier letters	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	Declared one-step lift of historical S05.
H_RUN_PARITY	W04	word_poset_pre_denominator	HISTORICAL_CONTROL	0	KILL_LITERAL_REPEAT	Replace each binary run by its run-length parity	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	Historical W04; no current breadth credit.
H_MOTZKIN_FLATTEN	Motzkin_summit	word_poset_pre_denominator	HISTORICAL_CONTROL	0	KILL_INTERNAL_EROSION	Parallel U H^r D -> H^(r+2) summit flattening	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	Historical pre-denominator erosion control.
H_FERRERS	D18_P189	word_poset_pre_denominator	HISTORICAL_CONTROL	0	KILL_FERRERS_CANONICALIZATION	Composition histogram / Ferrers conjugation	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	Ledger names a canonical engine without complete current boundary conventions; not a new literal claim.
H_CUT_DOUBLE	subset_decimation	word_poset_pre_denominator	HISTORICAL_CONTROL	0	KILL_DIRECT_SUBSET_ACTION	Double composition cuts modulo total N and remove collisions	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	Direct finite-subset action control near P96.
H_BOX_TOKEN	P169_labelled_lift	word_poset_pre_denominator	HISTORICAL_CONTROL	0	KILL_LABELLED_LIFT_P169	Ordered fixed boxes; every nonsingleton box sends least label to next box synchronously	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	Declared label-reversed k! lift of P169.
H_POSET_SQUARE	C12_RPE;A02_PSE	word_poset_pre_denominator	HISTORICAL_CONTROL	0	KILL_LITERAL_REPEAT	Strict posets as relations; R -> R compose R	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	scouting/word_poset_lane/BREADTH_AND_KILL_LEDGER.md	Historical exact relational square.
U2S	U2S	replacement_algebra	CODE_ONLY_WIP	0	PENDING_UNCONSOLIDATED	Subsets of odd Z_n; retain sums with exactly one ORDERED representation from A x A	scouting/replacement_algebra_lane/verify_replacement_algebra_lane.py	scouting/replacement_algebra_lane/verify_replacement_algebra_lane.py	Different from binary UPR unordered-distinct-pair rule.
