prime,level,cyclic_component_prime,cyclic_order,base_unit_exponent,q_exponent_mod_order,target_exponent_mod_order,observed_character_exponent,target_character_exponent,character_match_exact,character_value_error,kernel_on_cyclic_group,global_kernel_order_prime_to_p,global_kernel_finite,source_stage,scope
2,1,3,3,1,1,1,1,1,true,0,1,359137,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
5,5,3,243,7,4,4,28,28,true,0,1,14055827206611443889112308547,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
5,5,7,16807,15,8,8,120,120,true,0,1,14055827206611443889112308547,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
5,5,11,161051,23,12,12,276,276,true,0,1,14055827206611443889112308547,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
5,5,13,371293,27,14,14,378,378,true,0,1,14055827206611443889112308547,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
7,1,2,2,1,1,1,1,1,true,0,1,208149,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
7,2,2,4,1,3,3,3,3,true,0,1,71394853,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
7,2,3,9,7,4,4,1,1,true,0,1,71394853,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
7,3,2,8,5,3,3,7,7,true,0,1,1199933131219,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
7,3,3,27,7,4,4,1,1,true,0,1,1199933131219,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
7,3,5,125,11,6,6,66,66,true,0,1,1199933131219,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
7,4,2,16,5,3,3,15,15,true,0,1,141170932622630131,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
7,4,3,81,7,4,4,28,28,true,0,1,141170932622630131,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
7,4,5,625,11,6,6,66,66,true,0,1,141170932622630131,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
7,4,11,14641,23,12,12,276,276,true,0,1,141170932622630131,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
7,5,2,32,5,3,3,15,15,true,0,1,1953987424156736106889923331,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
7,5,3,243,7,4,4,28,28,true,0,1,1953987424156736106889923331,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
7,5,5,3125,11,6,6,66,66,true,0,1,1953987424156736106889923331,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
7,5,11,161051,23,12,12,276,276,true,0,1,1953987424156736106889923331,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
7,5,13,371293,27,14,14,378,378,true,0,1,1953987424156736106889923331,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
11,1,2,2,1,1,1,1,1,true,0,1,274735,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
11,2,2,4,1,3,3,3,3,true,0,1,33242813,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
11,2,3,9,7,4,4,1,1,true,0,1,33242813,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
11,3,2,8,5,3,3,7,7,true,0,1,486708144041,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
11,3,3,27,7,4,4,1,1,true,0,1,486708144041,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
11,3,5,125,11,6,6,66,66,true,0,1,486708144041,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
11,4,2,16,5,3,3,15,15,true,0,1,862233165637822001,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
11,4,3,81,7,4,4,28,28,true,0,1,862233165637822001,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
11,4,5,625,11,6,6,66,66,true,0,1,862233165637822001,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
11,4,7,2401,15,8,8,120,120,true,0,1,862233165637822001,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
11,5,2,32,5,3,3,15,15,true,0,1,184827336625745977456890881,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
11,5,3,243,7,4,4,28,28,true,0,1,184827336625745977456890881,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
11,5,5,3125,11,6,6,66,66,true,0,1,184827336625745977456890881,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
11,5,7,16807,15,8,8,120,120,true,0,1,184827336625745977456890881,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
11,5,13,371293,27,14,14,378,378,true,0,1,184827336625745977456890881,true,one fixed initial p-fibre,finite cyclic value/kernel witness; not a source-topology proof
