prime,profile,prefix_level,component_primes,kernel_lower_bound,kernel_bound_strictly_grows,component_kernel_rule,full_endpoint_in_Ef,finite_prefix_only,scope
5,illegal_uniformizer_components,5,2;3;7;11;13,6006,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
5,legal_unit_components,5,2;3;7;11;13,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
5,illegal_uniformizer_components,6,2;3;7;11;13;17,102102,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
5,legal_unit_components,6,2;3;7;11;13;17,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
5,illegal_uniformizer_components,7,2;3;7;11;13;17;19,1939938,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
5,legal_unit_components,7,2;3;7;11;13;17;19,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
7,illegal_uniformizer_components,1,2,2,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
7,legal_unit_components,1,2,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
7,illegal_uniformizer_components,2,2;3,6,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
7,legal_unit_components,2,2;3,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
7,illegal_uniformizer_components,3,2;3;5,30,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
7,legal_unit_components,3,2;3;5,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
7,illegal_uniformizer_components,4,2;3;5;11,330,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
7,legal_unit_components,4,2;3;5;11,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
7,illegal_uniformizer_components,5,2;3;5;11;13,4290,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
7,legal_unit_components,5,2;3;5;11;13,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
7,illegal_uniformizer_components,6,2;3;5;11;13;17,72930,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
7,legal_unit_components,6,2;3;5;11;13;17,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
7,illegal_uniformizer_components,7,2;3;5;11;13;17;19,1385670,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
7,legal_unit_components,7,2;3;5;11;13;17;19,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
11,illegal_uniformizer_components,1,2,2,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
11,legal_unit_components,1,2,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
11,illegal_uniformizer_components,2,2;3,6,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
11,legal_unit_components,2,2;3,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
11,illegal_uniformizer_components,3,2;3;5,30,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
11,legal_unit_components,3,2;3;5,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
11,illegal_uniformizer_components,4,2;3;5;7,210,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
11,legal_unit_components,4,2;3;5;7,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
11,illegal_uniformizer_components,5,2;3;5;7;13,2730,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
11,legal_unit_components,5,2;3;5;7;13,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
11,illegal_uniformizer_components,6,2;3;5;7;13;17,46410,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
11,legal_unit_components,6,2;3;5;7;13;17,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
11,illegal_uniformizer_components,7,2;3;5;7;13;17;19,881790,true,a_ell=ell gives an ell-element kernel,false,true,growing prefix proxy for an excluded infinite-kernel endpoint
11,legal_unit_components,7,2;3;5;7;13;17;19,1,false,a_ell=1+ell is an ell-adic unit,true,true,unit-target domain control; not a source-convergence proof
