source_id	existence_outcome	metadata_match	evidence_level	claim_fitness_grade	venue_assessment	currency_assessment	coi_assessment	retraction_assessment	support_class	verified_locator	notes
P31-S11	VERIFIED	EXACT	VI	B	RECOGNIZED_SCHOLARLY_BOOK_CHAPTER_NOT_PR_COUNTED_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	arithmetic_group_algorithm_only	https://doi.org/10.1016/S0049-237X(08)71335-1	Exact DOI chapter metadata supports an arithmetic-group conjugacy framework; it does not expose P31 canonical witness or obstruction bytes without specialization.
P31-S12	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	arithmetic_group_algorithm_only	https://doi.org/10.2307/1971091	Exact DOI metadata supports general algorithms for arithmetic groups; termination, Gamma_0(11) membership, orientation, and negative-certificate replay must still be proved for P31.
P31-S13	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	RECENT_METHOD_ANCHOR_2019	UNKNOWN_NOT_CHECKED	NOT_CHECKED	ambient_gln_conjugacy_only	https://doi.org/10.1112/jlms.12246	Exact DOI metadata supports modern GL(n,Z) conjugacy algorithms; it cannot silently preserve SL orientation, impose Gamma_0(11), or validate P31 serialization.
P31-S14	VERIFIED	EXACT	VI	C	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	class_number_background_only	https://doi.org/10.1016/0022-314X(82)90028-2	Exact DOI metadata supports indefinite quadratic-form class-number structure; class counts do not certify a specified pair or the G-I-C estimand separation.
P31-S15	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	modular_geodesic_reduction_only	https://doi.org/10.1112/jlms/s2-31.1.69	Exact DOI metadata supports modular-surface continued-fraction coding; it is not a Gamma_0(11) conjugacy solver and does not define the owner ledger.
P31-S16	VERIFIED	EXACT_AFTER_AUTHORIZED_CORRECTION	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FIT_FOR_PURPOSE_METHOD_ANCHOR	UNKNOWN_NOT_CHECKED	NOT_CHECKED	hyperbolic_group_conjugacy_only	https://doi.org/10.1142/S0218196706002986	RESOLVED_POST_VERIFICATION; initial finding P31-ERR-01 recorded inventory pages 287-306 against verified 287-305; pre bibliography SHA e2bd432bc655a607898b9c0d74c7acc899c94695bf9dc23b471a124c4f0e46ec and pre inventory SHA 36f0af561157620b57c7d5ceaca616990ddedd3ab64921857fc44e23bbbbad74; correction R10PH2-C04 bound to manifest SHA 59506776c0c536dbfd5b3ee511dd0ac0a52ae74548d08f3cd0dfb7ec9a8fd49c; current bibliography SHA c4655ba9c039dc27a1a7fc05347b79f834454423ca80aa1c0dc19fb13f968976 and inventory SHA cf4eef7d626ebc5d217d1597dc1f5e2ba0c5c8dc33b108a86b9be19d60536132 both record 287-305; support remains ambient word-hyperbolic conjugacy, not P31 primitive-owner or certificate bytes.
P31-S17	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FIT_FOR_PURPOSE_METHOD_ANCHOR	UNKNOWN_NOT_CHECKED	NOT_CHECKED	hyperbolic_group_list_conjugacy_only	https://doi.org/10.1142/S0218196713500203	Exact DOI metadata supports finite-list conjugacy algorithms in hyperbolic groups; the frozen presentation, oriented encoding, and certificate translation remain unproved.
P31-S18	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FIT_FOR_PURPOSE_METHOD_ANCHOR	UNKNOWN_NOT_CHECKED	NOT_CHECKED	inversion_centralizer_background_only	https://doi.org/10.1088/0951-7715/14/4/201	Exact DOI metadata supports centralizers and reversing symmetries; it does not choose or prove P31 oriented-versus-inverse owner equivalence.
P31-S19	VERIFIED	EXACT_FIRST_PARTY_AMS_RECORD	VI	C	RECOGNIZED_INSTITUTIONAL_EXPOSITORY_NOT_PR_COUNTED_PREDATORY_NOT_APPLICABLE	FOUNDATIONAL_EXPOSITORY	UNKNOWN_NOT_CHECKED	NOT_CHECKED	pell_unit_background_only	https://www.ams.org/notices/200202/fea-lenstra.pdf	Official AMS issue and article records confirm title, author, year, and pages 182-192; the exposition supports Pell-unit background only, not a conjugacy theorem or negative certificate.
P31-S20	VERIFIED	EXACT	VI	C	RECOGNIZED_SCHOLARLY_BOOK_NOT_PR_COUNTED_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	computational_number_theory_background_only	https://doi.org/10.1007/978-3-662-02945-9	Exact Springer book DOI metadata supports ideal arithmetic, units, and Pell algorithms; it does not establish P31 equivalence, pair completeness, or G-I-C weighting.
P31-S21	VERIFIED	EXACT	VI	A	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FIT_FOR_PURPOSE_DIRECT_ANCHOR	UNKNOWN_NOT_CHECKED	NOT_CHECKED	gamma0n_primitive_class_count_only	https://www.mathnet.ru/eng/sm3853	MathNet and DOI metadata exactly confirm the 2008 article, authors, volume, issue, pages, and Gamma_0(N) class-count formula; counts cannot decide a specified pair, canonicalize orientation, or serialize certificates.
P31-S22	VERIFIED	EXACT	VI	B	RECOGNIZED_PEER_REVIEWED_VENUE_PREDATORY_SCREEN_LIMITED	FOUNDATIONAL_EXEMPT	UNKNOWN_NOT_CHECKED	NOT_CHECKED	modular_conjugacy_class_number_only	https://doi.org/10.1016/0022-314X(85)90049-6	Exact DOI metadata confirms the modular-group conjugacy and real-quadratic class-number article; it cannot impose Gamma_0(11), choose inversion policy, or certify all project pairs.
