GIT OBJECT AUDIT — FIXED 82293 MERGE / 8190 RESEARCH CHECKPOINT
Actual read-only mechanical object audit; not a mathematics review.
UTC record: 2026-09-05 08:49:23 UTC (supplemental read followed).
Fixed merge: 82293de4105ccc0139acc288a26278261b3426a2
Fixed research: 8190c0499bd5edc19e97c7a8d2331076a8df5cb0
Repository: /root/autodl-tmp/hilbert-polya-structure
Workspace: /root/autodl-tmp/symbolic_dynamics
Method: git ls-tree -r -z of fixed commits; git cat-file --batch raw blob bytes compared directly with Path.read_bytes workspace bytes. No mirror file-copy comparison.
Initial preflight HEAD/origin/main=82293 and git status empty. Main fixed-object run HEAD/origin/main had advanced to 9a394ee2 through root's separate checkpoint; its start/end status were empty. Later supplemental status has only root-owned symbolic_dynamics/README.md modification, reported by root; no Git writes performed by this audit.
Primary process exit=0; compared_unique_files=842; compared_bytes=39285756
All scope inventories equal; missing=0; extra=0; mismatched_bytes=0; symlinks=0; scoped_research_to_merge_object_deltas=0
Package-local nonself manifests=36; actual rows checked against raw blobs AND workspace=1081; errors=0
These are byte/hash checks, not reruns of verifier assertions, PDF builds, proof reviews or independent scientific certification.

GROUP SUMMARY
group	physical_files	merge_files	research_files	bytes	workspace_path
paper197	82	82	82	5786542	papers/197-ternary-cyclic-sign-difference
paper199	141	141	141	6805232	papers/199-first-one-stirling-splice
paper200	117	117	117	6624922	papers/200-lex-first-alternating-switch
paper202	185	185	185	7147136	papers/202-ternary-ordered-reset
review197a	23	23	23	1287465	docs/papers197_201_sequence/reviews/p197_a
review197b	32	32	32	1728052	docs/papers197_201_sequence/reviews/p197_b
review199a	25	25	25	1115586	docs/papers197_201_sequence/reviews/p199_a
review199b	28	28	28	1476693	docs/papers197_201_sequence/reviews/p199_b
review200a	28	28	28	1751722	docs/papers197_201_sequence/reviews/p200_a
review200b	28	28	28	1767587	docs/papers197_201_sequence/reviews/p200_b
review202a	44	44	44	1487571	docs/papers197_201_sequence/reviews/p202_a
review202b	41	41	41	1671806	docs/papers197_201_sequence/reviews/p202_b
mct_scout	10	10	10	45712	docs/papers197_201_sequence/scouting/monochromatic_triangle_20260905
mct_temporal	11	11	11	28741	docs/papers197_201_sequence/reviews/mct_temporal_pressure_20260905
mct_stage1	13	13	13	63331	docs/papers197_201_sequence/reviews/mct_stage1_20260905
mct_supplement	13	13	13	15897	docs/papers197_201_sequence/reviews/mct_temporal_pin_supplement_20260905
breadth_snapshots	15	15	15	246230	docs/papers197_201_sequence/breadth_snapshots
breadth_index	1	1	1	28690	docs/papers197_201_sequence/STAGE1_BREADTH_INDEX.tsv
breadth_reconciliation	1	1	1	18446	docs/papers197_201_sequence/BREADTH_RECONCILIATION.md
lfctr_correction	1	1	1	2692	docs/papers197_201_sequence/LFCTR_HISTORY_COUNT_CORRECTION.md
mct_adjudication	1	1	1	6723	docs/papers197_201_sequence/MCT_ROOT_ADJUDICATION.md
historical_artifact_snapshot	1	1	1	135092	docs/research_state/ARTIFACT_SNAPSHOT_2026-09-05.json
historical_paper_index	1	1	1	43888	docs/research_state/PAPER_ARTIFACT_INDEX.tsv

PER-FILE EXACT BYTE RESULTS
group	git_blob_oid	git_mode	bytes	git_sha256	workspace_sha256	result	path
paper197	4a1643f6135fbbda93248de42b19f72d9899ec86	100644	1317	42d228553c614c1d763ac525d3c4ce7ef7560d452058f7cf5da7bead36134628	42d228553c614c1d763ac525d3c4ce7ef7560d452058f7cf5da7bead36134628	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/ROUND0_RECEIPT.md
paper197	268dbb8531a990b1452a4c5bc8ee011f6cccff32	100644	1494	e1ef35fda1b5bc467bbf67481cc3c9348c07d44a65179e01ba7ec7144589368d	e1ef35fda1b5bc467bbf67481cc3c9348c07d44a65179e01ba7ec7144589368d	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/ROUND1_RECEIPT.md
paper197	7b297ab4e9b74d64b160e60086d88fdb680b36ed	100644	1525	f5fd6f5cd994b90d8a5be86784bda917f3e428b03387a9c4bfe6346d564f9252	f5fd6f5cd994b90d8a5be86784bda917f3e428b03387a9c4bfe6346d564f9252	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/ROUND2_RECEIPT.md
paper197	8629384b2df6a574f803b630b99ae7e349a2dfb9	100644	1409	1e3b1dde68fe2dbbb5d33724c7a64a652d856e91e3e5628fd32b4253b45bcbf9	1e3b1dde68fe2dbbb5d33724c7a64a652d856e91e3e5628fd32b4253b45bcbf9	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/SELF_QA.md
paper197	081e4d19b6743737654b14c60af52aa07621dd3d	100644	7365	e24f077169e6ba901e5b442a300b960ca4f6a89b15e217b45e02c1b4aa11bf24	e24f077169e6ba901e5b442a300b960ca4f6a89b15e217b45e02c1b4aa11bf24	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/SHA256SUMS
paper197	3cdff7263c60f65965ed5856cc404cb9df5fd026	100644	2288	86f3ed4a0cc4a259c60cd26f92cd901077458dc6ede7e6e693aa693333611032	86f3ed4a0cc4a259c60cd26f92cd901077458dc6ede7e6e693aa693333611032	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/SOURCE_VERIFICATION.md
paper197	69d8b462edeffa72fa6474c0d236f9a1ff056741	100644	1194	54d09ba740900f49fdd045c9aae3b3fbe4f0cf2bc6cbbee3fe92f7f98a77d5d1	54d09ba740900f49fdd045c9aae3b3fbe4f0cf2bc6cbbee3fe92f7f98a77d5d1	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/code/CANONICAL.txt
paper197	89724dca1ddaeecf0f01bac1fce25aac7b045205	100644	7935	2dde93e3e8c8b4c85f23ceb476d1cddd63a8f477c5c11d2cb59ee4f6e16b1e27	2dde93e3e8c8b4c85f23ceb476d1cddd63a8f477c5c11d2cb59ee4f6e16b1e27	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/code/verify.py
paper197	69d8b462edeffa72fa6474c0d236f9a1ff056741	100644	1194	54d09ba740900f49fdd045c9aae3b3fbe4f0cf2bc6cbbee3fe92f7f98a77d5d1	54d09ba740900f49fdd045c9aae3b3fbe4f0cf2bc6cbbee3fe92f7f98a77d5d1	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/frozen_round0/code/CANONICAL.txt
paper197	89724dca1ddaeecf0f01bac1fce25aac7b045205	100644	7935	2dde93e3e8c8b4c85f23ceb476d1cddd63a8f477c5c11d2cb59ee4f6e16b1e27	2dde93e3e8c8b4c85f23ceb476d1cddd63a8f477c5c11d2cb59ee4f6e16b1e27	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/frozen_round0/code/verify.py
paper197	1fb6fc0d75e4a01dd27c28afe610d4fa6a549389	100644	16295	3958fd63a7a7487bceb9720fb140426651d27fb51bab79dc03a30286eb4deda0	3958fd63a7a7487bceb9720fb140426651d27fb51bab79dc03a30286eb4deda0	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/frozen_round0/main.tex
paper197	46f35c890e8f74f356217334bbc82d8d1e7b3a23	100644	667	56fff92afda7b377cab2a340e5b41cb245c147e965d6e691102a2e25ae15937b	56fff92afda7b377cab2a340e5b41cb245c147e965d6e691102a2e25ae15937b	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/frozen_round0/references.bib
paper197	69d8b462edeffa72fa6474c0d236f9a1ff056741	100644	1194	54d09ba740900f49fdd045c9aae3b3fbe4f0cf2bc6cbbee3fe92f7f98a77d5d1	54d09ba740900f49fdd045c9aae3b3fbe4f0cf2bc6cbbee3fe92f7f98a77d5d1	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/frozen_round1/code/CANONICAL.txt
paper197	89724dca1ddaeecf0f01bac1fce25aac7b045205	100644	7935	2dde93e3e8c8b4c85f23ceb476d1cddd63a8f477c5c11d2cb59ee4f6e16b1e27	2dde93e3e8c8b4c85f23ceb476d1cddd63a8f477c5c11d2cb59ee4f6e16b1e27	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/frozen_round1/code/verify.py
paper197	1fb6fc0d75e4a01dd27c28afe610d4fa6a549389	100644	16295	3958fd63a7a7487bceb9720fb140426651d27fb51bab79dc03a30286eb4deda0	3958fd63a7a7487bceb9720fb140426651d27fb51bab79dc03a30286eb4deda0	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/frozen_round1/main.tex
paper197	46f35c890e8f74f356217334bbc82d8d1e7b3a23	100644	667	56fff92afda7b377cab2a340e5b41cb245c147e965d6e691102a2e25ae15937b	56fff92afda7b377cab2a340e5b41cb245c147e965d6e691102a2e25ae15937b	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/frozen_round1/references.bib
paper197	69d8b462edeffa72fa6474c0d236f9a1ff056741	100644	1194	54d09ba740900f49fdd045c9aae3b3fbe4f0cf2bc6cbbee3fe92f7f98a77d5d1	54d09ba740900f49fdd045c9aae3b3fbe4f0cf2bc6cbbee3fe92f7f98a77d5d1	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/frozen_round2/code/CANONICAL.txt
paper197	89724dca1ddaeecf0f01bac1fce25aac7b045205	100644	7935	2dde93e3e8c8b4c85f23ceb476d1cddd63a8f477c5c11d2cb59ee4f6e16b1e27	2dde93e3e8c8b4c85f23ceb476d1cddd63a8f477c5c11d2cb59ee4f6e16b1e27	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/frozen_round2/code/verify.py
paper197	1fb6fc0d75e4a01dd27c28afe610d4fa6a549389	100644	16295	3958fd63a7a7487bceb9720fb140426651d27fb51bab79dc03a30286eb4deda0	3958fd63a7a7487bceb9720fb140426651d27fb51bab79dc03a30286eb4deda0	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/frozen_round2/main.tex
paper197	46f35c890e8f74f356217334bbc82d8d1e7b3a23	100644	667	56fff92afda7b377cab2a340e5b41cb245c147e965d6e691102a2e25ae15937b	56fff92afda7b377cab2a340e5b41cb245c147e965d6e691102a2e25ae15937b	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/frozen_round2/references.bib
paper197	926e2f3f047e170b362de35f96824e5682b8d854	100644	3360	102700d82b29d228b12680a4135b4dab33255946276b8b160bdabedf7d307f54	102700d82b29d228b12680a4135b4dab33255946276b8b160bdabedf7d307f54	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/main.aux
paper197	21c57f41630b76294ed56cecc06c67aea04ae105	100644	921	fd2206802707fd09d3c0ee0e03ac386a6606fda838fa53e6140b0ee00d185349	fd2206802707fd09d3c0ee0e03ac386a6606fda838fa53e6140b0ee00d185349	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/main.bbl
paper197	2ed030ac39ffdebb8b5cb9a40bf3671230ea0b94	100644	889	5edc89f46f5fdade9b3fc9bd5b1abb5aad88f80b7e5d6f97ed039437b4440b4b	5edc89f46f5fdade9b3fc9bd5b1abb5aad88f80b7e5d6f97ed039437b4440b4b	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/main.blg
paper197	927e189b0aa67cea463e4b525265fbaf306b6730	100644	26940	a833563f8e065b8ccc67a5726b5baf927b941c0ebe46896c5ff4bec78abfc013	a833563f8e065b8ccc67a5726b5baf927b941c0ebe46896c5ff4bec78abfc013	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/main.log
paper197	d9ff2cff18cbbbcfc51abc3508463b69e5d4901b	100644	1396	abfae762be7fb9383dda65568b7d662476d6772ea4354b5ac4780fd5ff71edd2	abfae762be7fb9383dda65568b7d662476d6772ea4354b5ac4780fd5ff71edd2	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/main.out
paper197	5b35e6650b12971bc963728b5056173cfd5b2c84	100644	371181	42cb9e1e7cd10858a7ecf98faf2d8ced79faeb31211f608fd20f4b75a01b792a	42cb9e1e7cd10858a7ecf98faf2d8ced79faeb31211f608fd20f4b75a01b792a	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/main.pdf
paper197	1fb6fc0d75e4a01dd27c28afe610d4fa6a549389	100644	16295	3958fd63a7a7487bceb9720fb140426651d27fb51bab79dc03a30286eb4deda0	3958fd63a7a7487bceb9720fb140426651d27fb51bab79dc03a30286eb4deda0	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/main.tex
paper197	5b35e6650b12971bc963728b5056173cfd5b2c84	100644	371181	42cb9e1e7cd10858a7ecf98faf2d8ced79faeb31211f608fd20f4b75a01b792a	42cb9e1e7cd10858a7ecf98faf2d8ced79faeb31211f608fd20f4b75a01b792a	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/main_round0_original.pdf
paper197	5b35e6650b12971bc963728b5056173cfd5b2c84	100644	371181	42cb9e1e7cd10858a7ecf98faf2d8ced79faeb31211f608fd20f4b75a01b792a	42cb9e1e7cd10858a7ecf98faf2d8ced79faeb31211f608fd20f4b75a01b792a	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/main_round1.pdf
paper197	5b35e6650b12971bc963728b5056173cfd5b2c84	100644	371181	42cb9e1e7cd10858a7ecf98faf2d8ced79faeb31211f608fd20f4b75a01b792a	42cb9e1e7cd10858a7ecf98faf2d8ced79faeb31211f608fd20f4b75a01b792a	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/main_round2.pdf
paper197	9f8ea552897b059c9e0d5a8045eae22a7300f5ca	100644	2847	63c288c4a30690fa1a8d5a1f3aebe8d8df48a2ff8e4dd4b338f28ce710e89040	63c288c4a30690fa1a8d5a1f3aebe8d8df48a2ff8e4dd4b338f28ce710e89040	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/SHA256SUMS
paper197	98b46fb4a7b27ccdabb2de6b0acc86763fe5f2fd	100644	158	7b0a0a8d2f1749b44546479273ee9d474d9656cc2a276630ff83cc8a72044dc9	7b0a0a8d2f1749b44546479273ee9d474d9656cc2a276630ff83cc8a72044dc9	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_1/bibtex.stdout
paper197	926e2f3f047e170b362de35f96824e5682b8d854	100644	3360	102700d82b29d228b12680a4135b4dab33255946276b8b160bdabedf7d307f54	102700d82b29d228b12680a4135b4dab33255946276b8b160bdabedf7d307f54	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_1/main.aux
paper197	21c57f41630b76294ed56cecc06c67aea04ae105	100644	921	fd2206802707fd09d3c0ee0e03ac386a6606fda838fa53e6140b0ee00d185349	fd2206802707fd09d3c0ee0e03ac386a6606fda838fa53e6140b0ee00d185349	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_1/main.bbl
paper197	2ed030ac39ffdebb8b5cb9a40bf3671230ea0b94	100644	889	5edc89f46f5fdade9b3fc9bd5b1abb5aad88f80b7e5d6f97ed039437b4440b4b	5edc89f46f5fdade9b3fc9bd5b1abb5aad88f80b7e5d6f97ed039437b4440b4b	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_1/main.blg
paper197	7a7eb596a195e0001b85e45a67a10185dae87041	100644	52301	1c0ed5237510054f657df892236076ba621691dec6360d2e93abc431cec0c26e	1c0ed5237510054f657df892236076ba621691dec6360d2e93abc431cec0c26e	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_1/main.fls
paper197	927e189b0aa67cea463e4b525265fbaf306b6730	100644	26940	a833563f8e065b8ccc67a5726b5baf927b941c0ebe46896c5ff4bec78abfc013	a833563f8e065b8ccc67a5726b5baf927b941c0ebe46896c5ff4bec78abfc013	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_1/main.log
paper197	d9ff2cff18cbbbcfc51abc3508463b69e5d4901b	100644	1396	abfae762be7fb9383dda65568b7d662476d6772ea4354b5ac4780fd5ff71edd2	abfae762be7fb9383dda65568b7d662476d6772ea4354b5ac4780fd5ff71edd2	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_1/main.out
paper197	5b35e6650b12971bc963728b5056173cfd5b2c84	100644	371181	42cb9e1e7cd10858a7ecf98faf2d8ced79faeb31211f608fd20f4b75a01b792a	42cb9e1e7cd10858a7ecf98faf2d8ced79faeb31211f608fd20f4b75a01b792a	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_1/main.pdf
paper197	1fb6fc0d75e4a01dd27c28afe610d4fa6a549389	100644	16295	3958fd63a7a7487bceb9720fb140426651d27fb51bab79dc03a30286eb4deda0	3958fd63a7a7487bceb9720fb140426651d27fb51bab79dc03a30286eb4deda0	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_1/main.tex
paper197	ad8d4e581878ada9fd8790eda94557df13c71e44	100644	8591	f6510184bd04883de3d610478f6f8e9664a092d8facfdd0e0edade616bc0e969	f6510184bd04883de3d610478f6f8e9664a092d8facfdd0e0edade616bc0e969	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_1/pass1.stdout
paper197	a8eab3da21b6408512c8ab5fb09d29469eba6895	100644	7522	b25b17962b3a5a8c108bca63259bec0a1047a293c3d6b6fcc35073e8f0956ba5	b25b17962b3a5a8c108bca63259bec0a1047a293c3d6b6fcc35073e8f0956ba5	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_1/pass2.stdout
paper197	7ed8db2aed7d3d0dceaa7296128967f6490f29f4	100644	6825	e681bc353e885accfd8c20aa18a8af88a542fa471f47691a2c5b841e24884206	e681bc353e885accfd8c20aa18a8af88a542fa471f47691a2c5b841e24884206	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_1/pass3.stdout
paper197	46f35c890e8f74f356217334bbc82d8d1e7b3a23	100644	667	56fff92afda7b377cab2a340e5b41cb245c147e965d6e691102a2e25ae15937b	56fff92afda7b377cab2a340e5b41cb245c147e965d6e691102a2e25ae15937b	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_1/references.bib
paper197	98b46fb4a7b27ccdabb2de6b0acc86763fe5f2fd	100644	158	7b0a0a8d2f1749b44546479273ee9d474d9656cc2a276630ff83cc8a72044dc9	7b0a0a8d2f1749b44546479273ee9d474d9656cc2a276630ff83cc8a72044dc9	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_2/bibtex.stdout
paper197	926e2f3f047e170b362de35f96824e5682b8d854	100644	3360	102700d82b29d228b12680a4135b4dab33255946276b8b160bdabedf7d307f54	102700d82b29d228b12680a4135b4dab33255946276b8b160bdabedf7d307f54	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_2/main.aux
paper197	21c57f41630b76294ed56cecc06c67aea04ae105	100644	921	fd2206802707fd09d3c0ee0e03ac386a6606fda838fa53e6140b0ee00d185349	fd2206802707fd09d3c0ee0e03ac386a6606fda838fa53e6140b0ee00d185349	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_2/main.bbl
paper197	2ed030ac39ffdebb8b5cb9a40bf3671230ea0b94	100644	889	5edc89f46f5fdade9b3fc9bd5b1abb5aad88f80b7e5d6f97ed039437b4440b4b	5edc89f46f5fdade9b3fc9bd5b1abb5aad88f80b7e5d6f97ed039437b4440b4b	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_2/main.blg
paper197	775a0d26bad2ad0a3d1d8fb726b2a930fc2abcb8	100644	52301	91f2b03e78bf9ce3e74946ae6efb3a3c77570e981af2b9433e28de3934fe8739	91f2b03e78bf9ce3e74946ae6efb3a3c77570e981af2b9433e28de3934fe8739	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_2/main.fls
paper197	927e189b0aa67cea463e4b525265fbaf306b6730	100644	26940	a833563f8e065b8ccc67a5726b5baf927b941c0ebe46896c5ff4bec78abfc013	a833563f8e065b8ccc67a5726b5baf927b941c0ebe46896c5ff4bec78abfc013	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_2/main.log
paper197	d9ff2cff18cbbbcfc51abc3508463b69e5d4901b	100644	1396	abfae762be7fb9383dda65568b7d662476d6772ea4354b5ac4780fd5ff71edd2	abfae762be7fb9383dda65568b7d662476d6772ea4354b5ac4780fd5ff71edd2	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_2/main.out
paper197	5b35e6650b12971bc963728b5056173cfd5b2c84	100644	371181	42cb9e1e7cd10858a7ecf98faf2d8ced79faeb31211f608fd20f4b75a01b792a	42cb9e1e7cd10858a7ecf98faf2d8ced79faeb31211f608fd20f4b75a01b792a	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_2/main.pdf
paper197	1fb6fc0d75e4a01dd27c28afe610d4fa6a549389	100644	16295	3958fd63a7a7487bceb9720fb140426651d27fb51bab79dc03a30286eb4deda0	3958fd63a7a7487bceb9720fb140426651d27fb51bab79dc03a30286eb4deda0	BYTE_EQUAL	papers/197-ternary-cyclic-sign-difference/qa_final/cold_build_2/main.tex
