row_id	query_id	family	rank	observed_at	retrieval_status	title	url	canonical_work_key	matched_source_id	dedupe_status	duplicate_of	screen_decision	screen_reason	historical_row_substitution
P29-Q-G04-R02	P29-Q-G04	G	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	Ambient Prime Geodesic Theorems on Hyperbolic 3-Manifolds | International Mathematics Research Notices | Oxford Academic	https://academic.oup.com/imrn/article/2023/1/588/6381506	corpus:P29-S08	P29-S08	UNIQUE_WITHIN_CURRENT_BOUND		RETAINED_EXISTING_ADMITTED_SOURCE	Current replay manifestation resolves to frozen admitted identifier P29-S08; no corpus or scientific-status change.	false
P29-Q-G04-R03	P29-Q-G04	G	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	On the prime geodesic theorem for hyperbolic 3-manifolds	https://arxiv.org/abs/1705.05626	corpus:P29-S06	P29-S06	DUPLICATE	P29-Q-G06-R02	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-G06-R02; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-G05-R01	P29-Q-G05	G	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	[Vol. 77(	https://projecteuclid.org/journalArticle/Download?isResultClick=False&urlId=10.3792%2Fpjaa.77.130	corpus:P29-S05	P29-S05	DUPLICATE	P29-Q-G01-R03	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-G01-R03; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-G05-R02	P29-Q-G05	G	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	J. DIFFERENTIAL GEOMETRY	https://projecteuclid.org/journals/journal-of-differential-geometry/volume-18/issue-2/Existence-of-closed-geodesics-on-positively-curved-manifolds/10.4310/jdg/1214437662.pdf	title:j differential geometry		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-G05-R03	P29-Q-G05	G	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	ISSN 1364-0380 (on line) 1465-3060 (printed)	https://projecteuclid.org/journalArticle/Download?urlId=10.2140%2Fgt.2002.6.91	title:issn 1364 0380 on line 1465 3060 printed		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-G06-R01	P29-Q-G06	G	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	On the prime geodesic theorem for hyperbolic 3‐manifolds	https://ideas.repec.org/a/bla/mathna/v291y2018i14-15p2160-2167.html	corpus:P29-S06	P29-S06	DUPLICATE	P29-Q-G06-R02	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-G06-R02; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-G06-R02	P29-Q-G06	G	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	On the prime geodesic theorem for hyperbolic 3‐manifolds - Avdispahić - 2018 - Mathematische Nachrichten - Wiley Online Library	https://onlinelibrary.wiley.com/doi/abs/10.1002/mana.201700190	corpus:P29-S06	P29-S06	UNIQUE_WITHIN_CURRENT_BOUND		RETAINED_EXISTING_ADMITTED_SOURCE	Current replay manifestation resolves to frozen admitted identifier P29-S06; no corpus or scientific-status change.	false
P29-Q-G06-R03	P29-Q-G06	G	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	On the prime geodesic theorem for hyperbolic 3-manifolds	https://arxiv.org/abs/1705.05626	corpus:P29-S06	P29-S06	DUPLICATE	P29-Q-G06-R02	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-G06-R02; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-G07-R01	P29-Q-G07	G	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	The prime geodesic theorem for PSL2(Z[i]) and spectral exponential sums - MaRDI portal	https://portal.mardi4nfdi.de/wiki/Publication%3A2104866	title:the prime geodesic theorem for psl2 z i and spectral exponential sums mardi portal		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_SOURCE_TYPE	secondary, aggregator, profile, issue-level, or non-research manifestation; no new source is admitted	false
P29-Q-G07-R02	P29-Q-G07	G	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	The prime geodesic theorem for PSL2(ℤ[i]) and spectral exponential sums	https://www.researchgate.net/publication/365886265_The_prime_geodesic_theorem_for_PSL2Zi_and_spectral_exponential_sums	corpus:P29-S02	P29-S02	DUPLICATE	P29-Q-G02-R03	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-G02-R03; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-G07-R03	P29-Q-G07	G	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	The subconvexity problem for GL2	https://doi.org/10.1007/s10240-010-0025-8	title:the subconvexity problem for gl2		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-G08-R01	P29-Q-G08	G	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	Bykovskii-Type Theorem for the Picard Manifold | International Mathematics Research Notices | Oxford Academic	https://academic.oup.com/imrn/article/2022/3/1893/5855864	corpus:P29-S03	P29-S03	UNIQUE_WITHIN_CURRENT_BOUND		RETAINED_EXISTING_ADMITTED_SOURCE	Current replay manifestation resolves to frozen admitted identifier P29-S03; no corpus or scientific-status change.	false
P29-Q-G08-R02	P29-Q-G08	G	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	Volume 2022 Issue 3 | International Mathematics Research Notices | Oxford Academic	https://academic.oup.com/imrn/issue/2022/3	title:volume 2022 issue 3 international mathematics research notices oxford academic		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-G08-R03	P29-Q-G08	G	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	Volume 2022 Issue 3 | International Mathematics Research Notices | Oxford Academic	https://academic.oup.com/imrn/issue/2022/3?browseBy=volume	title:volume 2022 issue 3 international mathematics research notices oxford academic		DUPLICATE	P29-Q-G08-R02	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-G08-R02; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-G09-R01	P29-Q-G09	G	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	Prime geodesic theorem via the explicit formula of Ψ for hyperbolic 3-manifolds - Tohoku University	https://tohoku.elsevierpure.com/en/publications/prime-geodesic-theorem-via-the-explicit-formula-of-%CF%88-for-hyperbol	corpus:P29-S05	P29-S05	DUPLICATE	P29-Q-G01-R03	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-G01-R03; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-G09-R02	P29-Q-G09	G	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	Prime geodesic theorem via the explicit formula of Ψ for hyperbolic 3-manifolds - Tohoku University	https://tohoku.elsevierpure.com/en/publications/prime-geodesic-theorem-via-the-explicit-formula-of-%CF%88-for-hyperbol/	corpus:P29-S05	P29-S05	DUPLICATE	P29-Q-G01-R03	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-G01-R03; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-G09-R03	P29-Q-G09	G	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	Publication	https://pweb.cc.sophia.ac.jp/nakasuji/publication.html	url:pweb.cc.sophia.ac.jp/nakasuji/publication.html		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-G10-R01	P29-Q-G10	G	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	On the prime geodesic theorem for hyperbolic 3‐manifolds - Avdispahić - 2018 - Mathematische Nachrichten - Wiley Online Library	https://onlinelibrary.wiley.com/doi/abs/10.1002/mana.201700190	corpus:P29-S06	P29-S06	DUPLICATE	P29-Q-G06-R02	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-G06-R02; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-G10-R02	P29-Q-G10	G	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	Errata and addendum to “On the prime geodesic theorem for hyperbolic ‐manifolds” Math. Nachr. 291 (2018), no. 14–15, 2160–2167 - Avdispahić - 2019 - Mathematische Nachrichten - Wiley Online Library	https://onlinelibrary.wiley.com/doi/pdf/10.1002/mana.201800467	corpus:P29-S07	P29-S07	UNIQUE_WITHIN_CURRENT_BOUND		RETAINED_EXISTING_ADMITTED_SOURCE	Current replay manifestation resolves to frozen admitted identifier P29-S07; no corpus or scientific-status change.	false
P29-Q-G10-R03	P29-Q-G10	G	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	The systole of random hyperbolic 3‐manifolds - Roig‐Sanchis - 2026 - Journal of the London Mathematical Society - Wiley Online Library	https://londmathsoc.onlinelibrary.wiley.com/doi/10.1112/jlms.70512	title:the systole of random hyperbolic 3 manifolds roig sanchis 2026 journal of the london mathematical society wiley online library		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-G11-R01	P29-Q-G11	G	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	[Vol. 77(	https://projecteuclid.org/journalArticle/Download?isResultClick=False&urlId=10.3792%2Fpjaa.77.130	corpus:P29-S05	P29-S05	DUPLICATE	P29-Q-G01-R03	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-G01-R03; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-G12-R01	P29-Q-G12	G	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	Errata and addendum to “On the prime geodesic theorem for hyperbolic ‐manifolds” Math. Nachr. 291 (2018), no. 14–15, 2160–2167 - Avdispahić - 2019 - Mathematische Nachrichten - Wiley Online Library	https://onlinelibrary.wiley.com/doi/pdf/10.1002/mana.201800467	corpus:P29-S07	P29-S07	DUPLICATE	P29-Q-G10-R02	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-G10-R02; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-G12-R02	P29-Q-G12	G	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	(PDF) Errata and addendum to “On the prime geodesic theorem for hyperbolic 3-manifolds” Math. Nachr. 291 (2018), no. 14-15, 2160-2167	https://www.researchgate.net/publication/329789271_Errata_and_addendum_to_On_the_prime_geodesic_theorem_for_hyperbolic_3-manifolds_Math_Nachr_291_2018_no_14-15_2160-2167	corpus:P29-S07	P29-S07	DUPLICATE	P29-Q-G10-R02	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-G10-R02; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-G12-R03	P29-Q-G12	G	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	Prime Geodesic Theorems for Compact Locally Symmetric Spaces of Real Rank One	https://ouci.dntb.gov.ua/en/works/4E0zAgK7/	title:prime geodesic theorems for compact locally symmetric spaces of real rank one		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_SOURCE_TYPE	secondary, aggregator, profile, issue-level, or non-research manifestation; no new source is admitted	false
P29-Q-C01-R01	P29-Q-C01	C	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	Conjugation Orbits of Loxodromic Pairs in SU(n,1)	https://arxiv.org/abs/1705.10469	title:conjugation orbits of loxodromic pairs in su n 1		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-C01-R02	P29-Q-C01	C	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	Computing in arithmetic groups with Voronoï's algorithm - ScienceDirect	https://doi.org/10.1016%2Fj.jalgebra.2015.01.022	title:computing in arithmetic groups with voronoi s algorithm sciencedirect		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-C01-R03	P29-Q-C01	C	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	Algebra i analiz	https://www.ams.org/journals/spmj/2004-15-06/S1061-0022-04-00833-7/S1061-0022-04-00833-7.pdf	url:ams.org/journals/spmj/2004-15-06/s1061-0022-04-00833-7/s1061-0022-04-00833-7.pdf		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-C02-R01	P29-Q-C02	C	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	On the conjugacy problem for subdirect products of hyperbolic groups | Mathematische Annalen | Springer Nature Link	https://link.springer.com/article/10.1007/s00208-026-03475-9	title:on the conjugacy problem for subdirect products of hyperbolic groups mathematische annalen springer nature link		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-C02-R02	P29-Q-C02	C	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	The Conjugacy Stability Problem for Parabolic Subgroups in Artin Groups | Mediterranean Journal of Mathematics | Springer Nature Link	https://link.springer.com/article/10.1007/s00009-022-02153-9	title:the conjugacy stability problem for parabolic subgroups in artin groups mediterranean journal of mathematics springer nature link		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-C02-R03	P29-Q-C02	C	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	Non-solutions to mixed equations in acylindrically hyperbolic groups coming from random walks | Archiv der Mathematik | Springer Nature Link	https://link.springer.com/article/10.1007/s00013-026-02223-4	title:non solutions to mixed equations in acylindrically hyperbolic groups coming from random walks archiv der mathematik springer nature link		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-C03-R01	P29-Q-C03	C	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	Groups, Rings and Group Rings	https://bookstore.ams.org/CONM/499	title:groups rings and group rings		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-C04-R01	P29-Q-C04	C	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	Monogr	https://www.ams.org/books/surv/278/surv278-endmatter.pdf	url:ams.org/books/surv/278/surv278-endmatter.pdf		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_SOURCE_TYPE	secondary, aggregator, profile, issue-level, or non-research manifestation; no new source is admitted	false
P29-Q-C04-R02	P29-Q-C04	C	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	ISSN 0002-9920	https://www.ams.org/journals/notices/199801/199801FullIssue.pdf	url:ams.org/journals/notices/199801/199801fullissue.pdf		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_SOURCE_TYPE	secondary, aggregator, profile, issue-level, or non-research manifestation; no new source is admitted	false
P29-Q-C04-R03	P29-Q-C04	C	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	Mathematical	https://www.ams.org/books/surv/177/surv177-endmatter.pdf	url:ams.org/books/surv/177/surv177-endmatter.pdf		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_SOURCE_TYPE	secondary, aggregator, profile, issue-level, or non-research manifestation; no new source is admitted	false
P29-Q-C05-R00	P29-Q-C05	C		2026-09-04	UNAVAILABLE					NOT_APPLICABLE		UNAVAILABLE	No visible result within the declared top-three/no-pagination replay bound.	false
P29-Q-C06-R01	P29-Q-C06	C	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	Asymptotic invariants, complexity of groups and related problems | Bulletin of Mathematical Sciences | Springer Nature Link	https://link.springer.com/article/10.1007/s13373-011-0008-1	title:asymptotic invariants complexity of groups and related problems bulletin of mathematical sciences springer nature link		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-C06-R02	P29-Q-C06	C	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	Feynman integral relations from parametric annihilators | Letters in Mathematical Physics | Springer Nature Link	https://link.springer.com/article/10.1007/s11005-018-1114-8	title:feynman integral relations from parametric annihilators letters in mathematical physics springer nature link		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-C06-R03	P29-Q-C06	C	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	The average-of-awards rule for claims problems | Social Choice and Welfare | Springer Nature Link	https://link.springer.com/article/10.1007/s00355-022-01414-6	title:the average of awards rule for claims problems social choice and welfare springer nature link		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-C07-R01	P29-Q-C07	C	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	Computing arithmetic Kleinian groups	https://arxiv.org/abs/1206.0087	corpus:P29-S10	P29-S10	UNIQUE_WITHIN_CURRENT_BOUND		RETAINED_EXISTING_ADMITTED_SOURCE	Current replay manifestation resolves to frozen admitted identifier P29-S10; no corpus or scientific-status change.	false
P29-Q-C07-R02	P29-Q-C07	C	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	COMPUTING ARITHMETIC KLEINIAN GROUPS	https://www.normalesup.org/~page/Recherche/Documents/articles/kln_gps.pdf	corpus:P29-S10	P29-S10	DUPLICATE	P29-Q-C07-R01	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-C07-R01; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-C07-R03	P29-Q-C07	C	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	COMPUTING ARITHMETIC KLEINIAN GROUPS	https://citeseerx.ist.psu.edu/document?doi=df470ca1c4355c74b48453f9ef1cff3e5ba240d0&repid=rep1&type=pdf	corpus:P29-S10	P29-S10	DUPLICATE	P29-Q-C07-R01	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-C07-R01; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-C08-R01	P29-Q-C08	C	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	Computing fundamental domains for arithmetic Kleinian groups	https://oskar-bordeaux.fr/handle/20.500.12278/189895	title:computing fundamental domains for arithmetic kleinian groups		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-C08-R02	P29-Q-C08	C	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	ORCID	https://orcid.org/0000-0002-1247-4970	url:orcid.org/0000-0002-1247-4970		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_SOURCE_TYPE	secondary, aggregator, profile, issue-level, or non-research manifestation; no new source is admitted	false
P29-Q-C08-R03	P29-Q-C08	C	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	Computing fundamental domains for arithmetic Kleinian groups	https://www.researchgate.net/publication/281185328_Computing_fundamental_domains_for_arithmetic_Kleinian_groups	title:computing fundamental domains for arithmetic kleinian groups		DUPLICATE	P29-Q-C08-R01	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-C08-R01; authoritative-manifestation preference then query order and rank selected the representative.	false
P29-Q-C09-R01	P29-Q-C09	C	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	Bianchi groups are conjugacy separable - ScienceDirect	https://www.sciencedirect.com/science/article/pii/S0022404909002904	title:bianchi groups are conjugacy separable sciencedirect		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_SCOPE_CRITERION	existential-only conjugacy separability supplies no usable effective procedure under the frozen criteria	false
P29-Q-C09-R02	P29-Q-C09	C	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	Bianchi groups are conjugacy separable	https://arxiv.org/abs/0908.1420	title:bianchi groups are conjugacy separable		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_SCOPE_CRITERION	existential-only conjugacy separability supplies no usable effective procedure under the frozen criteria	false
P29-Q-C09-R03	P29-Q-C09	C	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	Pavel A. Zalesskiǐ | ScienceDirect	https://www.sciencedirect.com/author/6602096662/pavel-a-zalesskii	title:pavel a zalesskii sciencedirect		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-C10-R01	P29-Q-C10	C	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	Contemporary	https://toc.library.ethz.ch/objects/pdf/e01_978-0-8218-4771-8_01.pdf	url:toc.library.ethz.ch/objects/pdf/e01_978-0-8218-4771-8_01.pdf		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-C10-R02	P29-Q-C10	C	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	The Figure Eight Knot Group is Conjugacy	https://citeseerx.ist.psu.edu/document?doi=ba54e27d5e25d0a2004fb86797e3187b2b21d708&repid=rep1&type=pdf	title:the figure eight knot group is conjugacy		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_SOURCE_TYPE	secondary, aggregator, profile, issue-level, or non-research manifestation; no new source is admitted	false
P29-Q-C10-R03	P29-Q-C10	C	3	2026-09-04	RETRIEVED_CURRENT_REPLAY	Universidade de Brasília	https://repositorio.unb.br/bitstream/10482/1142/1/DISSERTACAO_2008_IgorSantosLima.pdf	title:universidade de brasi lia		UNIQUE_WITHIN_CURRENT_BOUND		EXCLUDED_REPLAY_ONLY	current replay observation does not match the frozen admitted 22-source set; corpus expansion is not authorized	false
P29-Q-C11-R01	P29-Q-C11	C	1	2026-09-04	RETRIEVED_CURRENT_REPLAY	THE LINEARITY OF THE CONJUGACY PROBLEM IN WORD-HYPERBOLIC GROUPS | International Journal of Algebra and Computation	https://doi.org/10.1142/S0218196706002986	corpus:P29-S13	P29-S13	UNIQUE_WITHIN_CURRENT_BOUND		RETAINED_EXISTING_ADMITTED_SOURCE	Current replay manifestation resolves to frozen admitted identifier P29-S13; no corpus or scientific-status change.	false
P29-Q-C11-R02	P29-Q-C11	C	2	2026-09-04	RETRIEVED_CURRENT_REPLAY	THE LINEARITY OF THE CONJUGACY PROBLEM IN WORD-HYPERBOLIC GROUPS	https://www.researchgate.net/publication/220169390_THE_LINEARITY_OF_THE_CONJUGACY_PROBLEM_IN_WORD-HYPERBOLIC_GROUPS	corpus:P29-S13	P29-S13	DUPLICATE	P29-Q-C11-R01	DUPLICATE_REMOVED	Same current-replay work key as P29-Q-C11-R01; authoritative-manifestation preference then query order and rank selected the representative.	false
